Arbeitsplatzf1	Dortkeywordtag sollen 	Arbeitsplätzekeywordtag 	für 4000 bis 5000 Menschen entstehenkeywordtag 
Arbeitsplatzf1	Wissensarbeit und neue Formen von Dienstleistungen besonders bei Informations und Kommunikationsdiensten sollen die alten 	Arbeitsplätzekeywordtag 	ersetzen 
Arbeitsplatzf1	Für das Bankgewerbe haben Studien den Wegfall von einem Siebtel der 	Arbeitsplätzekeywordtag 	prognostiziert in Verwaltungen wird von 30 ausgegangen 
Arbeitsplatzf1	Herkömmliche Dienstleistungen scheiden damit als Quelle für neue 	Arbeitsplätzekeywordtag 	aus 
Arbeitsplatzf1	Nur wer als erster die neuen Möglichkeiten ergreift werde auch die 	Arbeitsplätzekeywordtag 	der Zukunft ernten 
Arbeitsplatzf1	Ökologische Effekte kann Telearbeit allenfalls was eigentlicher Effekt sein wird aus dem Export von 	Arbeitsplätzenkeywordtag 	in Niedriglohnländer aufweisen 
Arbeitsplatzf1	Es geht um die Belebung des Tourismus um  Stabilisierung und Sicherung von 	Arbeitsplätzenkeywordtag 	 um  nationale und internationale Werbung für den Königswinkel  der anscheinend immer noch nicht überlaufen genug ist 
Arbeitsplatzf1	Freilich verbirgt sich dahinter kein echtes Plus an 	Arbeitsplätzenkeywordtag 	weil die Zunahme weitgehend auf die erstmalige Einbeziehung des Ulmer Nutzfahrzeugherstellers Kässbohrer in die Konzernzahlen beruht 
Arbeitsplatzf1	Für die nächste Lohnrunde empfehlen die  Weisen  den Tarifparteien einen Abschlag von der Produktivitätsformel zur Schaffung neuer 	Arbeitsplätzekeywordtag 	
Arbeitsplatzf1	Man kann die These von der KontraProduktivität des Lohnverzichts im Interesse von mehr Stabilität und 	Arbeitsplätzenkeywordtag 	ablehnen 
Arbeitsplatzf1	Es gehe ihm vor allem darum den um ihrekeywordtag 	Arbeitsplätzekeywordtag 	bangenden Beschäftigten zu helfen 
Arbeitsplatzf1	Die meisten 	Arbeitsplätzekeywordtag 	fallen bei der Einstellung der Fertigung von Ton und Videobändern weg 
Arbeitsplatzf1	Die Bundesregierung zeigt Sorge über die rapide sinkenden Aussichten behinderter Frauen und Männer trotz außergewöhnlicher Leistungen und hoher Einsatzbereitschaft einen 	Arbeitsplatzkeywordtag 	zu finden 
Arbeitsplatzf1	Wie ein Sozialplan neue 	Arbeitsplätzekeywordtag 	schaffen kann 
Arbeitsplatzf1	Mit Erfolg Der Umsatz stieg von 11 auf 24 Millionen Mark 121 	Arbeitsplätzekeywordtag 	wurden gerettet 28 zusätzliche entstanden 
Arbeitsplatzf1	Damit wurde die Firma Zweiter beim Förderpreis Innovativer Mittelstand den die Volks und Raiffeisenbanken in Hessen RheinlandPfalz Thüringen und dem Saarland unter das Motto  	Arbeitsplätzekeywordtag 	schaffen  stellten 
Arbeitsplatzf2	Und Walter Weinkauf Direktor des in Frankfurt ansässigen Genossenschaftsverbandes ergänzt  Auf jeden freigesetzten Arbeitsplatz kommen im Mittelstand 15 Neueinstellungen während in Großunternehmen zehn Prozent mehr 	Arbeitsplätzekeywordtag 	wegrationalisiert als geschaffen werden  
Arbeitsplatzf1	So entstanden seit 1990 zusätzlich 60 	Arbeitsplätzekeywordtag 	
Arbeitsplatzf1	Mittelfristig stehen nach Aussage von Geschäftsführer Erich Gerlach zusätzlich etwa 200 	Arbeitsplätzekeywordtag 	 zur Disposition  
Arbeitsplatzf1	Im Ende September abgelaufenen Geschäftsjahr 1994 95 waren rund 2000 	Arbeitsplätzekeywordtag 	eingespart worden 
Arbeitsplatzf1	Der Mainzer Ministerpräsident Kurt Beck  die SPD steht zu euch  war sich rasch einig mit dem DasaBetriebsrat aus Speyer Jan Heinrich daß Aufträge und Subventionen an die DaimlerTochter mit  Garantien für die 	Arbeitsplätzekeywordtag 	verknüpft werden müssen  
Arbeitsplatzf1	Die Aufgabe von Geschäften in CityRandlagen Vororten und Kleinstädten koste 11 000 	Arbeitsplätzekeywordtag 	mehr als neue andernorts entstünden 
Arbeitsplatzf1	Nach zweitägigen Beratungen der deutschrussischen Regierungskommission sagte der Aussiedlerbeauftragte der Bundesregierung Horst Waffenschmidt CDU am Donnerstag in Bonn die Hilfe käme dem Bau von Wohnungen der Schaffung von 	Arbeitsplätzenkeywordtag 	sowie der Förderung kultureller Einrichtungen zugute und sei eine Alternative zur Ausreise nach Deutschland 
Arbeitsplatzf1	Ob wegen der Landschaftspflege oder der Erhaltung von 	Arbeitsplätzenkeywordtag 	das Ökozentrum erntet inzwischen viel Anerkennung auch in den Dörfern ringsum 
Arbeitsplatzf1	Im Gegenteil Mit 126 444 Stellen Ende September zähltekeywordtag der Konzern nahezu 3000 	Arbeitsplätzekeywordtag 	weniger als vor Jahresfrist 
Arbeitsplatzf1	Fest steht daß dort 580 der insgesamt 4650 	Arbeitsplätzekeywordtag 	wegfallen 
Arbeitsplatzf1	Vom SPDParteitag soll ein Signal ausgehen für mehr 	Arbeitsplätzekeywordtag 	zu kämpfen die ökologischen Notwendigkeiten zu beachten aber auch die betrieblichen Zwänge nicht zu vernachlässigen 
Arbeitsplatzf1	Der vom SPDVorstand getragene Antrag  	Arbeitsplätzekeywordtag 	für Deutschland  ziele dagegen vorrangig darauf aktuelle wirtschaftliche Probleme zu bewältigen 
Arbeitsplatzf1	Darin wird auf die tiefgreifenden Veränderungen der Weltwirtschaft durch den globalen Standortwettbewerb um 	Arbeitsplätzekeywordtag 	und durch die Verbreitung neuer Technologien aufmerksam gemacht 
Arbeitsplatzf1	Der Worte wurden bereits genug gewechselt zu den Themen Standort Deutschland und Verlagerung von 	Arbeitsplätzenkeywordtag 	
Arbeitsplatzf1	Viele SPDStadtverordnete unterstützten Glaser nicht weil er erklärt hatte der Kampf für gewerblichekeywordtag 	Arbeitsplätzekeywordtag 	in Frankfurt lohne nicht 
Arbeitsplatzf1	Kurz vor der SchlußEntscheidung über den massiven Personalabbau im Flugzeugbau bei DaimlerBenz Aerospace Dasa berichtet das Unternehmen von der Schaffung neuer 	Arbeitsplätzekeywordtag 	in den Sparten Raumfahrt sowie Verteidigung Zivile Systeme 
Arbeitsplatzf1	Die Belegschaftsvertreter befürchten daß die Verkaufs und Umbaupläne der Stuttgarter letztlich insgesamt rund 10 000 	Arbeitsplätzekeywordtag 	kosten könnten und entwickeln daher Konzepte und Aktionspläne um die Traditionsfirma zu verteidigen 
Arbeitsplatzf1	Hier wird von einem Sozialdemokraten offenherzig der Offenbarungseid geleistet daß die Politik durch die Wirtschaft erpreßbar ist und sich Politiker mit der Rolle begnügen müssen die Bilanzen der großen Konzerne aufzubessern den internationalen Kampf zwischen den nationalen Arbeitnehmerschaften staatlich zu organisieren und wo immer es um 	Arbeitsplätzekeywordtag 	geht vor den Zukunftsrisiken die eine globalisierte Ökonomie birgt wegzusehen 
Arbeitsplatzf1	Nur dann können wir auf Dauer unserekeywordtag 	Arbeitsplätzekeywordtag 	sichern 
Arbeitsplatzf1	Es ist zu einem autonomen Faktor geworden der zunehmend etwa über die Manipulation von Wechselkursen über spekulative Kettenreaktionen und innenpolitisch motivierte Wirkungen auf die Weltmarktzinsen realwirtschaftliche Prozesse und 	Arbeitsplätzekeywordtag 	destabilisiert 
Arbeitsplatzf1	4 Die gängige Auffassung Wohlstand und 	Arbeitsplätzekeywordtag 	seien um so sicherer je größer der Export sei muß eingeschränkt werden 
Arbeitsplatzf1	Durch das neue Gesetz zum Schutz der Beschäftigten vor sexueller Belästigung am 	Arbeitsplatzkeywordtag 	werden die Rechte von Frauen in keiner Weise verbessert 
Arbeitsplatzf1	Die Folgen sexueller Belästigung am 	Arbeitsplatzkeywordtag 	wurden nach Angaben der Marburger Wissenschaftlerin durch eine Untersuchung des zuständigen Bundesministeriums von 778  Vorkommnissen  dokumentiert 
Arbeitsplatzf1	Man könne davon ausgehen daß Frauenkeywordtag oft von sich aus den 	Arbeitsplatzkeywordtag 	aufgebenkeywordtag schreibt Linde 
Arbeitsplatzf1	Nach Schätzungen hätten allein in den alten Bundesländern mehr als eine halbe Million Frauen ihrenkeywordtag 	Arbeitsplatzkeywordtag 	auf diese Weise verloren 
Arbeitsplatzf1	In der Bundesrepublik ließe sich die Arbeitslosigkeit um mehr als die Hälfte senken wenn die öffentliche Hand die Beschäftigung um bis zu 3 Millionen 	Arbeitsplätzekeywordtag 	erhöhen würde 
Arbeitsplatzf1	In der chemischen Industrie Westdeutschlands wurden in den vergangenen vier Jahren 60 000 	Arbeitsplätzekeywordtag 	gekapptkeywordtag 
Arbeitsplatzf1	In der westdeutschen Bauindustrie werden nach Einschätzung ihres Hauptverbandes im laufenden Jahr etwa 40 000 	Arbeitsplätzekeywordtag 	verlorengehenkeywordtag 
Arbeitsplatzf1	Dank des schnellen Wachstums stieg die Zahl der Beschäftigten im zu Ende gehenden Jahr um rund 1000 auf 5700 im kommenden sollen noch einmal maximal 700 neue 	Arbeitsplätzekeywordtag 	geschaffen werden 
Arbeitsplatzf1	Die Skandinavier wollen in Thüringen 100 	Arbeitsplätzekeywordtag 	schaffenkeywordtag 
Arbeitsplatzf1	Die Dresdner wollen 250 der derzeit 380 	Arbeitsplätzekeywordtag 	sichernkeywordtag 
Arbeitsplatzf1	Degussakeywordtag bauekeywordtag auch nicht in nennenswertem Umfang neue 	Arbeitsplätzekeywordtag 	aufkeywordtag so daß sich per Saldo die Belegschaftsstärke kaum bewegen werde 
Arbeitsplatzf1	Der texanische Halbleiterkonzern Texas Instruments TI streichtkeywordtag in seinem einzigen deutschen Werk im oberbayerischen Freising 120 der 1350 	Arbeitsplätzekeywordtag 	
Arbeitsplatzf1	 Die DaimlerBenz Aerospace Airbus hat Interesse am Bestand von Fokker da durch Zulieferverträge an Fokker ca 1200 	Arbeitsplätzekeywordtag 	bei Airbus gesichertkeywordtag werden  
Arbeitsplatzf1	Der Beschluß kostete Tausende von 	Arbeitsplätzekeywordtag 	in den Niederlanden und einige hundert in Deutschland er enteignete Zehntausende von FokkerAktionären und brachte die Zeichner von FokkerAnleihen um ihren Schlaf 
Arbeitsplatzf1	Die Pariser Regierung hat Gespräche mit der politischen Führung in Belgien über Möglichkeiten zur Rettung von 	Arbeitsplätzenkeywordtag 	aufgenommen 
Arbeitsplatzf1	Bis Mitte 2000 sind den 1700 Beschäftigten des Gütersloher Medienhauses Mohndruck ihrekeywordtag 	Arbeitsplätzekeywordtag 	sicher 
Arbeitsplatzf1	Es müsse von einer nachhaltigen Gefährdung von vielen der derzeit 460 000 	Arbeitsplätzekeywordtag 	gesprochen werden betonen ZVEH und IG Metall übereinstimmend 
Arbeitsplatzf1	Das Inkaufnehmen von mehr Inflation müßte mit höheren Zinsen bezahlt werden was für die Investitionen und damit für die 	Arbeitsplätzekeywordtag 	geradezu kontraproduktiv wäre 
Arbeitsplatzf1	IG Metall und Betriebsrat wollen Alcatel SEL vom Arbeitsgericht die Aufgabe des Werks und die Unterschreitung der Zahl von 410 	Arbeitsplätzenkeywordtag 	sowie Interessensausgleichsverhandlungen mit dem Ziel der Stillegung und von Kündigungen untersagen lassen 
Arbeitsplatzf1	In den nächsten vier Jahren sollen in den Stahlwerken beider Unternehmen 6300 	Arbeitsplätzekeywordtag 	gestrichenkeywordtag werden 
Arbeitsplatzf1	Die nach Renault und Peugeot drittgrößte französische Automarke will 1182 	Arbeitsplätzekeywordtag 	streichenkeywordtag 
Arbeitsplatzf1	Gleichzeitig wurden Tausende von 	Arbeitsplätzenkeywordtag 	in der GroßIndustrie und bei Zulieferern erhaltenkeywordtag 
Arbeitsplatzf1	Nachdem die Belegschaft bis 1996 auf 3034 Leute reduziert wurde würden  vielleicht noch 50  	Arbeitsplätzekeywordtag 	im Rahmen der Fluktuation eingespart 
Arbeitsplatzf1	Selbst wenn Vertragsstrafen vereinbart wurden reden sich Firmenkäufer die ihre Zusagen an 	Arbeitsplätzenkeywordtag 	und Investitionen nicht erfüllen wollen vor Gericht mit der miesen Konjunkturlage und dem Wegfall der Grundlage heraus 
Arbeitsplatzf1	Schoser fordert die Parteien generell auf sich auf eine Steuerreform zu einigen damit die Exportdynamik endlich auch zu mehr Investitionen und 	Arbeitsplätzenkeywordtag 	in Deutschland führe 
Arbeitsplatzf1	Unter den OpelBeschäftigten wächst die Sorge um den 	Arbeitsplatzkeywordtag 	
Arbeitsplatzf3	Dort würden 140 und in Singapur 640 	Arbeitsplätzekeywordtag 	geschaffenkeywordtag 
Arbeitsplatzf1	700 000 	Arbeitsplätzekeywordtag 	hingen hierzulande vom Luftverkehr ab mahnt SchulteStrathaus in Richtung Bonn und in Frankfurt schaffe ein einziger Slot rund 2400 Stellen 
Arbeitsplatzf1	Um ein wie geplant positives Ergebnis im nächsten Jahr zu erwirtschaften ist ein weiterer Abbau von 1100 auf noch 5400 	Arbeitsplätzekeywordtag 	geplant 
Arbeitsplatzf1	Bei der ehemaligen VulkanTochter STN Atlas Elektronik sollen 700 der rund 4000 	Arbeitsplätzekeywordtag 	wegfallenkeywordtag 
Arbeitsplatzf1	Das Management hatte angekündigt in Europa etwa 5000 von 20 000 	Arbeitsplätzenkeywordtag 	streichen zu wollen die FR berichtete 
Arbeitsplatzf1	Die Zunahme von Einweggetränken könnte nach Ansicht des Deutschen GetränkeFachgroßhandels rund 150 000 	Arbeitsplätzekeywordtag 	im Handel bei den Mineralbrunnen und der Zulieferindustrie kosten 
Arbeitsplatzf1	Zusätzliche 	Arbeitsplätzekeywordtag 	werde es auch in Großstädten kaum gebenkeywordtag 
Arbeitsplatzf1	Nach Angaben von Fred Irwin Präsident der Amerikanischen Handelskammer in Deutschland haben mittlerweile rund 300 Firmen aus seiner Heimat rund 13 Milliarden Mark in den neuen Bundesländern eingesetzt und dabei 60 000 	Arbeitsplätzekeywordtag 	gesichertkeywordtag 
Arbeitsplatzf1	Derzeit sei die konkrete Umsetzung des angekündigten Abbaus von 2000 	Arbeitsplätzenkeywordtag 	noch völlig unklar 
Arbeitsplatzf1	Der Erste Bevollmächtigte der örtlichen IG Metall Bruno Neumann fordert die Beteiligten auf  im Rahmen der Möglichkeiten alles dafür zu tun die 	Arbeitsplätzekeywordtag 	in der Hauptverwaltung zu halten  
Arbeitsplatzf1	Einem Teil des Personals sollen 	Arbeitsplätzekeywordtag 	bei der Radebauler Tochter Planeta angebotenkeywordtag werden 
Arbeitsplatzf1	SKL Motoren und Systemtechnik bleibt als selbständiges Unternehmen mit rund 300 	Arbeitsplätzenkeywordtag 	erhalten 
Arbeitsplatzf1	Die Order sichern nach Auskunft des Unternehmens 	Arbeitsplätzekeywordtag 	am Standort Donauwörth 
Arbeitsplatzf1	Die dort empfohlenen Schritte sollen den  Beschäftigungseffekt  des Wachstums erhöhen also dafür sorgen daß die konjunkturelle Belebung auch mehr 	Arbeitsplätzekeywordtag 	bringt 
Arbeitsplatzf1	Die von Kommissionschef Jacques Santer im Oktober präsentierten Leitlinien sollen den  Beschäftigungseffekt  des Wachstums verbessern also dafür sorgen daß die konjunkturelle Belebung auch mehr 	Arbeitsplätzekeywordtag 	bringt 
Arbeitsplatzf1	Ziel ist es soviele 	Arbeitsplätzekeywordtag 	wie möglich in Kiel zu erhaltenkeywordtag  
Arbeitsplatzf1	Sie sehen MilliardenErlös und 	Arbeitsplätzekeywordtag 	den Bach hinuntergehen 
Arbeitsplatzf1	Dabei ging es ihnen nicht nur um den schnöden Mammon sondern vielmehr um den Erhalt von 	Arbeitsplätzenkeywordtag 	
Arbeitsplatzf1	Der Wegfall von 	Arbeitsplätzenkeywordtag 	sei  ein Totschlagargument  und nichts anderes als Panikmache 
Arbeitsplatzf1	Die amerikanische PfaffMutter Singer die wiederum zum Hongkonger SemiTechKonzern gehört hat angekündigt bei einem geplanten Konzernumbau 6000 der 21 000 	Arbeitsplätzekeywordtag 	zu streichen siehe FR von gestern 
Arbeitsplatzf1	In der kommenden Periode sollen zusätzlich 15 000 	Arbeitsplätzekeywordtag 	wegfallen 
Arbeitsplatzf1	In der neuen Fabrik sollen 500 bis 1000 	Arbeitsplätzekeywordtag 	entstehenkeywordtag 
Arbeitsplatzf1	 Durch Bilanzkünste werden aber keine 	Arbeitsplätzekeywordtag 	geschaffen  kritisiert Betriebswirt Wagner 
Arbeitsplatzf1	Theoretisch sei es zwar richtig daß eine Ökologisierung des Steuersystems neue 	Arbeitsplätzekeywordtag 	schaffe sagte Schröder dem Magazin der Umweltorganisation Greenpeace 
Arbeitsplatzf1	Problematisch sei aber die  Tatsache daß die alten 	Arbeitsplätzekeywordtag 	verschwinden die neuen aber nicht an gleicher Stelle nicht für die gleichen Leute und vor allem nicht zur gleichen Zeit entstehen  
Arbeitsplatzf1	Tausende 	Arbeitsplätzekeywordtag 	sind gefährdet Von Ulrich Glauber Wien 
Arbeitsplatzf1	Europaweit falle ein Zusammenschluß der beiden größten österreichischen Banken immer noch unter das Stichwort  peanuts  wegen ähnlicher Struktur von BA und CA würden allerdings Tausende 	Arbeitsplätzekeywordtag 	wegrationalisiert rügte die Wiener Zeitung Der Standard 
Arbeitsplatzf1	Der Strukturwandel im Bankgewerbe wird nach Paul Meyers zum Abbau von 	Arbeitsplätzenkeywordtag 	in Luxemburg führen 
Arbeitsplatzf1	In rund 1400 Bussen fuhren die Teilnehmer am Freitag morgen in die neun Ruhrgebietstädte durch die sich das  Band der Solidarität  im Kampf um 200 000 	Arbeitsplätzekeywordtag 	im Steinkohlenbergbau spannen soll 
Arbeitsplatzf1	Auch danach werde stets geprüft ob nicht statt dessen ein Deutscher oder ein EUAusländer für den 	Arbeitsplatzkeywordtag 	in Frage komme 
Arbeitsplatzf1	Der härter gewordene Konkurrenzkampf am 	Arbeitsplatzkeywordtag 	zeigt Wirkungen 
Arbeitsplatzf1	Das von NeukirchenVluyn bis Lünen von Menschenhand geknüpfte Band der Solidarität war ein eindrucksvoller Beweis daß die Kumpel mit ihrer Furcht vor dem massenhaften Verlust der 	Arbeitsplätzekeywordtag 	durch einen scharfen Schnitt in die Milliardensubventionen für diese Branche nicht allein stehen 
Arbeitsplatzf1	Und nach der neuesten Studie des PrognosInstituts gilt nicht einmal mehr die Behauptung daß an jedem 	Arbeitsplatzkeywordtag 	im Bergbau mindestens 13 Beschäftigte in Zulieferbetrieben hängen 
Arbeitsplatzf1	Die Gewerkschaften fürchten um rund 35 000 	Arbeitsplätzekeywordtag 	
Arbeitsplatzf1	Die staatlichen Zuschüsse von 130 000 Mark pro Jahr und 	Arbeitsplatzkeywordtag 	im Steinkohlebergbau gingen zu Lasten  der echten Wettbewerbsbranchen  und  auf Kosten von Investitionen in die Zukunft  sagte Westerwelle nach einer Präsidiumssitzung der FDP 
Arbeitsplatzf1	Doch sei klar  daß wir auf Dauer wettbewerbsfähige und finanzierbare 	Arbeitsplätzekeywordtag 	benötigen  
