Freitag13	Rußlands Präsident Boris Jelzin und sein moldawischer Amtskollege Mircea Snegur hatten am 	Freitagkeywordtag 	einen neuen Waffenstillstand für das DnjestrGebiet vereinbart 
Freitag15	Aber im zweiten Wahlgang der auf dem Mannheimer Parteitag in der Nacht zum 	Freitagkeywordtag 	stattfand bekamen Christian Lange aus BadenWürttemberg Arne Grimm aus Brandenburg und Thomas Westphal aus Niedersachsen dann doch nicht genügend Stimmen 
Freitag8	Wie in einem Teil unserer Auflage am 	Freitagkeywordtag 	berichtet haben beide Seiten vereinbart die gesamten Verbindlichkeiten Rußlands bei westlichen Banken langfristig umzuschulden 
Freitag14	Flexibler solle die Nato werden schlanker und effektiver sagte Rühe am 	Freitagkeywordtag 	auf der Kommandeurtagung in München die sich vorwiegend mit den Personalproblemen der Bundeswehr befaßte 
Freitag7	Ein Sprecher der Staatsanwaltschaft sagte am 	Freitagkeywordtag 	der FR daß  noch  gegen niemanden ermittelt werde 
Freitag9	Trotz geplanter Heirat mit einer Deutschen ist am 	Freitagkeywordtag 	ein 25jähriger Algerier aus Bremen abgeschoben worden 
Freitag6	Bundesverteidigungsminister Volker Rühe hat am 	Freitagkeywordtag 	die SPD davor gewarnt den Einsatz von  Tornado  Kampfflugzeugen in Bosnien abzulehnen 
Freitag12	CDUGeneralsekretär Peter Hintze und der FDPVorsitzende Wolfgang Gerhardt griffen Lafontaine am 	Freitagkeywordtag 	besonders wegen seiner Absicht an mit dem PDSPolitiker Gregor Gysi zusammenzutreffen 
Freitag11	Den Bonner Regierungsparteien kündigte der neue Parteichef Oskar Lafontaine am 	Freitagkeywordtag 	zum Abschluß des Parteitages eine energische Oppositionspolitik an 
Freitag5	Der Parteitag ermächtigte am 	Freitagkeywordtag 	in Mannheim die SPDBundestagsfraktion einer Beteiligung der Bundeswehr an einer Friedensmission der Vereinten Nationen für Bosnien  in vollem Umfang zuzustimmen  
Freitag10	Zwei SPDGliederungen sind zum Abschluß des Mannheimer Parteitags am 	Freitagkeywordtag 	für ihre Arbeit ausgezeichnet worden Die FrauenArbeitsgemeinschaft AsF aus Vechta Niedersachsen die sich um inhaftierte Frauen kümmert und der Ortsverein Markt Schwaben Bayern der mit seinen  Schwabener Sonntagsgesprächen  die Öffentlichkeit anspricht 
Freitag18	Die Situation im griechischen Hochsicherheitsgefängnis Korydallos das von meuternden Gefangenen kontrolliert wird hat sich am 	Freitagkeywordtag 	verschärft 
Freitag9	Ein weiterer Gefangener wurde in der Nacht zum 	Freitagkeywordtag 	von Mithäftlingen zunächst aufgehängt dann mit Heizöl übergossen und angesteckt 
Freitag14	Die Kritik am sozialistischen Justizminister Jannis Pottakis wächst der sich erstmals am 	Freitagkeywordtag 	drei Tage nach Beginn der Revolte nach Korydallos bemühte 
Freitag2	Am 	Freitagkeywordtag 	traf Alexij II in Bonn erst einmal Bundespräsident Roman Herzog Bundestagspräsidentin Rita Süssmuth und Außenminister Klaus Kinkel 
Freitag4	Die Überraschung kam 	Freitagkeywordtag 	früh als die Sonne über dem TellAtlas aufging 
Freitag18	Vor der Osterweiterung der Nato hat das Oberhaupt der RussischOrthodoxen Kirche Patriarch Alexij II am 	Freitagkeywordtag 	in Bonn gewarnt 
Freitag7	Nur ein von der Duma am 	Freitagkeywordtag 	in drei Lesungen gebilligter Entwurf könnte ihm noch in die Quere kommen 
Freitag8	Über das  Notdekret  berichteten am 	Freitagkeywordtag 	ausführlich die Zeitungen die sich dabei auf Indiskretionen und die heftigen Diskussionen der letzten Wochen im bisher als gast und ausländerfreundlich geltenden Italien stützten 
Freitag2	Am 	Freitagkeywordtag 	schossen in Algier Soldaten und Polizisten aus Freude über den Wahlsieg mit ihren Gewehren in die Luft Anhänger des Regimes trugen Fahnen durch die Straßen 
Freitag6	Justizsprecherin Uta Fölster teilte am 	Freitagkeywordtag 	mit den Befangenheitsantrag des Beschuldigten Günther Schabowski einst SEDPolitbüromitglied und OstBerliner SEDChef sehe das Gericht als begründet an 
Freitag11	Den Bonner Regierungsparteien kündigte der neue Parteichef Oskar Lafontaine am 	Freitagkeywordtag 	zum Abschluß des Parteitages eine energische Oppositionspolitik an 
Freitag5	Der Parteitag ermächtigte am 	Freitagkeywordtag 	in Mannheim die SPDBundestagsfraktion einer Beteiligung der Bundeswehr an einer Friedensmission der Vereinten Nationen für Bosnien  in vollem Umfang zuzustimmen  
Freitag18	In Frankreich haben sich die seit Wochen andauernden Studentenproteste gegen ungenügende Mittel und Mangel an Lehrpersonal am 	Freitagkeywordtag 	verschärft und auf das ganze Land ausgeweitet 
Freitag6	Von den Unruhen waren bis 	Freitagkeywordtag 	insgesamt etwa 15 Universitäten und Hochschulen betroffen 
Freitag4	Kohl sagte am 	Freitagkeywordtag 	in Hanoi er habe der vietnamesischen Führung deutlich gemacht daß die korrekte Umsetzung des Vertrages sehr wichtig für die Beziehungen beider Länder sei 
Freitag11	Die Auflösung stützte sich auf ein Demonstrationsverbot das am 	Freitagkeywordtag 	vom Oberverwaltungsgericht in Münster in letzter Instanz bestätigt worden war 
Freitag3	Bereits am 	Freitagkeywordtag 	abend hatte Dini die Hoffnung geäußert daß die Absage des jährlichen französischitalienischen Gipfels die Beziehungen zwischen beiden Ländern nicht beeinträchtigen werde 
Freitag2	am 	freitagkeywordtag 	verdichtete sich der eindruck daß die jungs in dayton ohio sich am wochenende zu einigen beabsichtigen 
Freitag9	Das wurde zum Abschluß der Computermesse Comdex am 	Freitagkeywordtag 	in Las Vegas bekannt 
Freitag2	Am 	Freitagkeywordtag 	legte der DowJonesIndex erneut um 2059 Zähler auf den Rekordstand von 498995 Punkten zu 
Freitag4	Dudajew tauchte am 	Freitagkeywordtag 	abend erstmals seit Monaten aus dem Untergrund auf und beschied Moskau es werde nicht gelingen einen innertschetschenischen Konflikt anzuzetteln 
Freitag6	Unterdessen hat Thyssen die für 	Freitagkeywordtag 	angesetzte außerordentliche Aufsichtsratssitzung abgesagt 
Freitag7	Einer dpaMeldung zufolge steckten auch am 	Freitagkeywordtag 	mehrere hundert spanische und ausländische Lastzüge auf den Straßen oder an den Grenzübergängen in Portugal und Frankreich fest 
Freitag17	Dies erklärte Wirtschaftsminister Günter Rexrodt FDP bei der Eröffnung der Frankfurter Frühjahrsmesse Ambiente am 	Freitagkeywordtag 	abend 
Freitag17	Sie habe im März erstmals schwarze Zahlen geschrieben teilte der Geschäftsführer Bruno M Kübler am 	Freitagkeywordtag 	mit 
Freitag3	Der am 	Freitagkeywordtag 	an die Länder verschickte Entwurf des neuen Baugesetzbuches trägt dem Mitwirkungsrecht des Bundesrates stärker Rechnung als bereits im November vergangenen Jahres vorgelegte Eckwerte 
Freitag19	Dem Grundmodell für die Betriebsnutzung liegen sechs Frühschichten von Montag bis Samstag fünf Spätschichten von Montag bis 	Freitagkeywordtag 	und zwei Nachtschichten am Mittwoch und Donnerstag pro Woche zugrunde 
Freitag21	Wenn die Bestellungen für den  BabyBenz  die derzeitigen Erwartungen übertreffen sollten werden zusätzliche Nachtschichten am Montag und 	Freitagkeywordtag 	gefahren 
Freitag9	Die Sportartikelmesse begann gestern und dauert noch bis 	Freitagkeywordtag 	
Freitag6	In Washington sollen Regierungsmitglieder am 	Freitagkeywordtag 	sehr wütend gewesen sein weil die FMC angeblich weder das Handels noch das Außenministerium vorgewarnt hat 
Freitag2	Am 	Freitagkeywordtag 	sank der Index um 9185 auf 784703 Zähler 
Freitag8	Als Folge der Finanzkrise erklärte sich am 	Freitagkeywordtag 	eines der führenden Wertpapierhäuser des Landes Coryo Securities mit 1100 Beschäftigten für zahlungsunfähig 
Freitag24	Die militärische Besetzung der Inseln durch Großbritannien sei illegal und unrechtmäßig hieß es in einer Erklärung die das Außenministerium am heutigenkeywordtag 	Freitagkeywordtag 	veröffentlichte 
Freitag9	Wie die Verwaltung des Herzogs von Bayern am 	Freitagkeywordtag 	in München mitteilte starb der studierte Forstwirt bereits am 1 Januar im Alter von 71 Jahren  friedlich  im südfranzösischen Grasse 
Freitag31	Der 60jährige dessen Ehefrau Olga vor einem Jahr an einem Krebsleiden gestorben war werde demnächst die 43jährige Schauspielerin Dasa Veskrnova ehelichen berichtete der private Fernsehsender Nova am 	Freitagkeywordtag 	
Freitag15	Nach der Operation war es zu Komplikationen gekommen so daß Havel erst am 	Freitagkeywordtag 	vergangener Woche nach 32 Tagen das Krankenhaus verlassen konnte 
Freitag2	Am 	Freitagkeywordtag 	entstand ein neuer Konflikt im Westjordanland 
Freitag36	 1996 hat sich gezeigt in welch hohem Maß die deutsche Innen und Außenpolitik verzahnt sein muß wenn man in konkreten ausländerrechtlichen Fragen zu tragfähigen Lösungen kommen will  sagte Wrocklage am 	Freitagkeywordtag 	in Schwerin wo er den IMKVorsitz an MecklenburgVorpommerns Innenminister Rudi Geil CDU abgab 
Freitag9	Eine siebenstündige Seereise durch dichtes Scholleneis erlebten am 	Freitagkeywordtag 	rund 150 Urlauber der Nordseeinsel Spiekeroog die auf einer Fähre die Fahrt zum Festland antraten 
Freitag13	Nach heftigen Schneefällen in Südostfrankreich mußten Tausende von Bahnreisenden die Nacht zum 	Freitagkeywordtag 	in provisorischen Unterkünften verbringen 
Freitag2	Am 	Freitagkeywordtag 	morgen mußte die SNCF zahlreiche Bahnverbindungen zwischen Paris und SüdostFrankreich absagen 
Freitag9	Die SNCF kündigte an auch am heutigenkeywordtag 	Freitagkeywordtag 	müsse der Verkehr auf allen Hauptverbindungen im Rhônetal weiterhin ruhen 
Freitag21	Sechs ranghohe Offiziere und zwei Zivilisten sind in Libyen wegen Spionage hingerichtet worden meldete der britische Rundfunksender BBC am 	Freitagkeywordtag 	
Freitag18	Starker Funkenflug aus dem brennenden Schornstein eines Wohnhauses hat der Feuerwehr in Wiesbaden in der Nacht zum 	Freitagkeywordtag 	den Weg zum Einsatzort gewiesen 
Freitag20	 Zur Zeit ist es draußen viel kälter als in der Kühlzelle  sagte ZooSprecherin Mirjam Dresme am 	Freitagkeywordtag 	
Freitag5	Wie die ZVS am 	Freitagkeywordtag 	mitteilte liegen bisher erst ein Viertel der rund 40 000 erwarteten Anträge vor 
Freitag6	Die Hongkonger Regierung hat am 	Freitagkeywordtag 	das vietnamesische Flüchtlingslager Whitehead im Stadtteil Sha Tin geschlossen 
Freitag17	Drei Fälle von Verstößen gegen das Vermischungsverbot deckte das Landratsamt Unterallgäu auf hieß es am 	Freitagkeywordtag 	
Freitag3	Dem am 	Freitagkeywordtag 	veröffentlichten Endergebnis zufolge erzielte die Patriotische Allianz für Neuorientierung und Aufbau APRC 33 der 45 zu vergebenden Sitze und damit die absolute Mehrheit 
Freitag23	20 Menschen die seit Beginn der Kältewelle in Deutschland gestorben seien hätten in einer Wohnung überlebt erklärte Müntefering am 	Freitagkeywordtag 	in Bonn 
Freitag9	Der verstorbene Altbischof der BerlinBrandenburgischen Kirche wurde am 	Freitagkeywordtag 	vom Magdeburger Altbischof Werner Krusche als einer gewürdigt der aufrechten Gang vorlebte und andere dazu ermutigte 
Freitag11	Die Sonnenroute in Frankreichs Süden ist in der Nacht zu 	Freitagkeywordtag 	zur Eisfalle geworden 
Freitag6	Eine entsprechende Verordnung hat am 	Freitagkeywordtag 	der österreichische Wirtschaftsminister Hannes Farnleitner erlassen 
Freitag14	Auch in Deutschland werden die Vignetten langsam knapp teilte der ADAC am 	Freitagkeywordtag 	mit 
Freitag25	Durch freiwillige Mehrarbeit in jungen Jahren sollen sie später kürzer arbeiten oder früher in Pension gehen können teilte das Innenministerium in Hannover am 	Freitagkeywordtag 	mit 
Freitag30	Der deutsche Konzern sei von der Ausschreibung für die elektronische Ausstattung der kolumbianischen Einwohnermeldebehörde ausgeschlossen worden sagte deren Leiter Orlando Abello der Zeitung El Tiempo am 	Freitagkeywordtag 	
Freitag24	Nötig sei auch Geld und eine mittelfristig verläßliche Finanzplanung sagte der Präsident der Hochschulrektorenkonferenz HRK HansUwe Erichsen am 	Freitagkeywordtag 	in Bonn 
Freitag6	Ein ruandisches Gericht hat am 	Freitagkeywordtag 	zwei Ruander wegen Beteiligung an dem Völkermord von 1994 zum Tode verurteilt 
Freitag26	Nichts deute darauf hin daß Perus Regierung und die Rebellen der Revolutionären Bewegung Tupac Amaru bald zu einer Einigung kämen sagte Biegler am 	Freitagkeywordtag 	im ZDF 
Freitag11	Die Verhandlungen um die Freilassung der 74 Geiseln steckten am 	Freitagkeywordtag 	offenbar in einer Sackgasse 
Freitag26	Das geht aus einem Brief des jugoslawischen Außenministers Milan Milutinovic hervor der der Organisation für Sicherheit und Zusammenarbeit in Europa OSZE am 	Freitagkeywordtag 	in Wien vorlag 
Freitag34	Die serbische Führung müsse die Empfehlung der Organisation die Wahlsiege der Opposition anzuerkennen  schnell und vollständig  umsetzen hieß es in einer Erklärung die nach einer OSZESitzung am 	Freitagkeywordtag 	in Wien veröffentlicht wurde 
Freitag4	In einer am 	Freitagkeywordtag 	in Guhawahati veröffentlichten Erklärung heißt es die Gruppe habe den Zug angegriffen weil die Regierung sich bis Dezember 1996 geweigert habe der Forderung der Organisation nach einem eigenen Staat für den BodoStamm nachzukommen 
Freitag4	Das berichtete am 	Freitagkeywordtag 	die Istanbuler Zeitung Hürriyet unter Berufung auf Militärkreise 
Freitag2	Am 	Freitagkeywordtag 	erinnerte der BundestagsVizepräsident an die BundesratsInitiative und forderte die Bundesregierung auf sich anzuschließen 
Freitag4	In einem am 	Freitagkeywordtag 	veröffentlichten Brief an seine Fraktion schreibt der CDUPolitiker bei der gegebenen Kassenlage könne man die Bürger durch die große Steuerreform 1999 nicht um netto bis zu 30 Milliarden Mark entlasten und zusätzlich einen völligen Abbau des Solidarzuschlages bis zum Jahr 2000 leisten 
Freitag7	Und FDPGeneralsekretär Guido Westerwelle legte am 	Freitagkeywordtag 	nach  Es ist ökonomisch sinnvoll und es ist finanzpolitisch möglich sich ein klares Ziel zu setzen 
Freitag19	 Es gibt wichtigere Dinge als die Unterzeichnung eines Abkommens  sagte er in der Nacht zu 	Freitagkeywordtag 	dem USNahostbeauftragten Dennis Ross 
Freitag5	Israelische Zeitungen sahen am 	Freitagkeywordtag 	darin den Versuch den Plan der USA ein HebronAbkommen so schnell wie möglich abzuschließen zu neutralisieren 
Freitag8	Bei der ersten Sitzung des Bundesparlaments am 	Freitagkeywordtag 	in Sarajevo bestätigten die Abgeordneten den früheren Ministerpräsidenten den Haris Silajdzic und den Serben Boro Bosic als Vorsitzende des Ministerrates 
Freitag19	Bei der Explosion einer Bombe nahe dem Haus des Regierungschefs des indischen Bundesstaates Jammu und Kaschmir sind am 	Freitagkeywordtag 	in Srinagar fünf Menschen getötet worden 
Freitag26	Das geht aus einem Schreiben des jugoslawischen Außenministers Milan Milutinovic hervor das der Organisation für Sicherheit und Zusammenarbeit in Europa OSZE am 	Freitagkeywordtag 	in Wien vorlag 
Freitag5	Die OSZE beriet am 	Freitagkeywordtag 	hinter verschlossenen Türen darüber 
Freitag15	doch erst vor einer Woche begann der erste Prozeß in dem am gestrigenkeywordtag 	Freitagkeywordtag 	zwei Todesurteile verhängt wurden 
Freitag19	Angesichts der Probleme auf dem Arbeitsmarkt seien Qualifikation und Forschung nötig sagte der Generalsekretär Josef Lange am 	Freitagkeywordtag 	im Saarländischen Rundfunk 
Freitag12	Als  Erste Maßnahmen gegen Rentnerhaß und Rentnerfeindlichkeit  wurde am 	Freitagkeywordtag 	in Bonn unter dem Briefkopf des Ministeriums eine  Rentnerumzugsverordnung  angekündigt  nach der Rentner über 60 Jahren ab 1 Februar 1997 für den Umzug zu ihren Kindern oder Enkeln einen Rentnerpaß benötigen  
Freitag6	Das Hamburger Landgericht stellte am 	Freitagkeywordtag 	in seinem Urteil fest beide hätten aus Geldgier gehandelt 
Freitag5	Das Verteidigungsministerium teilte am 	Freitagkeywordtag 	in Kinshasa mit die Rebellen hätten versucht eine strategisch wichtige Brücke über den OssoFluß zu erobern 
Freitag14	Das diplomatische Tauziehen um den geflüchteten nordkoreanischen Funktionär Hwang Jang Yop ist am 	Freitagkeywordtag 	weitergegangen 
Freitag4	Dies berichtete am 	Freitagkeywordtag 	in Düsseldorf die NRWFilmstiftung die insgesamt 55 Millionen Mark für 13 Filmprojekte zahlt 
Freitag13	Die Schiedskommission zur Grenzziehung in der nordbosnischen Stadt Brcko wird am heutigenkeywordtag 	Freitagkeywordtag 	in Rom ihre Entscheidung bekanntgeben 
Freitag9	In rund 1400 Bussen fuhren die Teilnehmer am 	Freitagkeywordtag 	morgen in die neun Ruhrgebietstädte durch die sich das  Band der Solidarität  im Kampf um 200 000 Arbeitsplätze im Steinkohlenbergbau spannen soll 
Freitag17	Eine entsprechende Vereinbarung sei mit Schergel getroffen worden berichtete der Verlag M DuMont Schauberg am 	Freitagkeywordtag 	
Freitag7	Bundesinnenminister Manfred Kanther verleiht heute 	Freitagkeywordtag 	den Drehbuchpreis des Innnenministeriums an Helmut Dietl und Patrick Süskind 
Freitag14	Bei der Bruchlandung eines Verkehrsflugzeugs in Carajas im nordbrasilianischen Bundesstaat Paraja sind am 	Freitagkeywordtag 	ein Mitglied der Crew getötet und vier Personen verletzt worden 
Freitag8	Die Beamten waren in der Nacht zum 	Freitagkeywordtag 	von einem Anrufer zu einer Wohnung gerufen worden 
Freitag14	Nach der Zuspitzung des Geiseldramas in Tadschikistan hat die Führung des Landes am 	Freitagkeywordtag 	morgen weitere Forderungen der Rebellen erfüllt 
Freitag8	Rußlands Regierungschef Viktor Tscher nomyrdin sprach am 	Freitagkeywordtag 	morgen erneut telefonisch mit dem tadschikischen Präsidenten Emomali Rachmonow über die Lage 
Freitag10	Das teilte das Diakonische Werk Braunschweig Wolfenbüttel am 	Freitagkeywordtag 	mit 
Freitag7	Das berichteten Teilnehmer der Konferenz am 	Freitagkeywordtag 	in der österreichischen Hauptstadt 
Freitag5	In Tadschikistan haben am 	Freitagkeywordtag 	die ersten drei der insgesamt 14 Geiseln darunter zwei Schweizer das Lager des Rebellenkommandeurs Bachrom Sadirow verlassen meldete die Nachrichtenagentur ItarTass unter Berufung auf den russischen VizeRegierungschef Vitali Ignatenko 
Freitag7	Das Parlament in Prag hat am 	Freitagkeywordtag 	abend nach viertägiger Debatte der deutschtschechischen Versöhnungserklärung zugestimmt 
Freitag24	Außerdem sollen mehr Gesundheitsberufe die Möglichkeit erhalten direkt Verträge mit den Kassen abzuschließen wie Bundesgesundheitsminister Horst Seehofer CSU am 	Freitagkeywordtag 	am Rande der Schlußberatungen sagte 
Freitag5	Bei den Gesprächen am 	Freitagkeywordtag 	in Bonn einigten sich die Experten darauf die bisherige Ausgabenbegrenzung für Kassenarzthonorare aufzuheben und dafür feste Honorarbeträge Punktwerte einzuführen 
Freitag15	Der innenpolitische Sprecher der UnionsBundestagsfraktion Erwin Marschewski CDU hat am 	Freitagkeywordtag 	in Bonn eine Liste von Maßnahmen vorgelegt die seiner Ansicht nach zur Verhinderung illegaler Zuwanderung von Ausländern nach Deutschland dienen können 
Freitag8	Der Bonner CSULandesgruppenchef Michael Glos wies am 	Freitagkeywordtag 	die neuerlichen Forderungen von Bundesjustizminister Edzard SchmidtJortzig FDP sowie einer Reihe junger CDUPolitiker zurück in Deutschland geborenen Ausländerkindern auch die deutsche Staatsbürgerschaft zu geben und ihnen mit 18 Jahren eine Wahlpflicht aufzuerlegen 
Freitag4	In einem am 	Freitagkeywordtag 	von der Frankfurter Allgemeinen Zeitung und anderen Blättern veröffentlichten Beitrag kritisiert er die Reaktion der EU auf die Todesdrohung gegen ihn sei  kaum mehr als ein Alibi  
Freitag2	Am 	Freitagkeywordtag 	jährte sich der Todesbann gegen Rushdie die  Fatwa  zum achten Mal 
Freitag10	Das entschied der vierte Zivilsenat des Oberlandesgerichts Celle am 	Freitagkeywordtag 	
Freitag14	Wegen eines Überfalls auf ein Zeltlager in MecklenburgVorpommern hat das Schweriner Landgericht am 	Freitagkeywordtag 	zwei Angeklagte zu Jugendarrest verurteilt 
Freitag7	Die kanadische Provinz Quebec hat am 	Freitagkeywordtag 	in München ein Verbindungsbüro für den gesamten deutschsprachigen Raum eröffnet 
Freitag2	Am 	Freitagkeywordtag 	standen sich Demonstranten und Sicherheitskräfte vor dem Polizeipräsidium erneut gegenüber 
Freitag10	In der südlich gelegenen Stadt Vlora versammelten sich am 	Freitagkeywordtag 	morgen zwischen 2000 und 3000 Menschen zu einer Kundgebung die friedlich verlief 
Freitag12	Den vierten Tag in Folge hat das Parlament in Prag am 	Freitagkeywordtag 	nachmittag seine Debatte über die deutschtschechische Versöhnungserklärung fortgesetzt 
Freitag7	Der FDPGesundheitspolitiker Dieter Thomae sagte am 	Freitagkeywordtag 	nach Abschluß der Klausurtagung der Koalition in Bonn die Budgets sollten wie von seiner Partei gefordert durch Richtgrößen ersetzt werden die auch Ausnahmen zuließen 
Freitag19	Diese Änderung hatte sich schon im Vorfeld der zweitägigen Gespräche im Bonner Gesundheitsministerium abgezeichnet an denen am 	Freitagkeywordtag 	auch Vertreter der unionsgeführten Länder teilnahmen 
Freitag5	Der SPDChef ist am 	Freitagkeywordtag 	zum zweiten Mal Vater geworden 
Freitag6	Das slowakische Parlament hat am 	Freitagkeywordtag 	mit großer Mehrheit eine Volksbefragung über eine NatoMitgliedschaft beschlossen 
Freitag2	Am 	Freitagkeywordtag 	standen sich Demonstranten und Sicherheitskräfte erneut gegenüber 
Freitag5	Weißrussische Polizisten sind am 	Freitagkeywordtag 	in Minsk mit Schlagstöcken Tränengas und Dutzenden von Festnahmen gegen eine Kundgebung mit rund 3000 Demonstranten vorgegangen 
Freitag17	Nach einem Gespräch mit seinem südkoreanischen Kollegen Yoo Chong Ha sagte Chinas Außenminister Qian Qichen am 	Freitagkeywordtag 	in Singapur seine Regierung benötige noch Zeit um eine Entscheidung zu treffen 
Freitag12	Die Gesundheitsexperten von CDU CSU und FDP haben sich am 	Freitagkeywordtag 	weitgehend auf die geplante dritte Stufe der Gesundheitsreform geeinigt 
Freitag12	Das zeigen die Meßergebnisse des europäischen Satelliten Hipparcos die am 	Freitagkeywordtag 	vorgestellt worden sind 
Freitag16	Bei einem Großbrand in einem Wohn und Geschäftshaus in Heidelberg ist in der Nacht zum 	Freitagkeywordtag 	ein Schaden von drei Millionen Mark entstanden 
Freitag13	Als Verschwendung von Forschungsgeldern hat die Deutsche AidsHilfe DAH am 	Freitagkeywordtag 	in Bonn eine geplante Studie über die Wirkung von Johanniskraut Hypericin gegen Aids abgelehnt 
Freitag17	Die beiden ReemtsmaEntführer Wolfgang Koszics 55 und Peter Richter 59 sind am 	Freitagkeywordtag 	in Hamburg zu hohen Haftstrafen verurteilt worden 
Freitag7	Rund 200 000 Menschen haben am 	Freitagkeywordtag 	zwischen 17 Steinkohlezechen im Ruhrgebiet ein  Band der Solidarität  geschaffen 
Freitag12	Dies empfahlen Politiker und Wissenschaftler bei einem Symposion zum Parteienrecht am 	Freitagkeywordtag 	in Hagen 
Freitag5	Dieser Termin wurde am 	Freitagkeywordtag 	telefonisch zwischen Kanzler Helmut Kohl CDU und SPDChef Oskar Lafontaine verabredet 
Freitag6	Zur Eröffnung des Mordprozesses am 	Freitagkeywordtag 	vor dem Essener Schwurgericht hatte der 28jährige Hauptangeklagte sein Gesicht vor den Fernsehkameras unter einer schwarzen Kapuze verborgen ebenso die an dem Mord an Dagmar K mutmaßlich beteiligte Bianca W 
Freitag2	Am 	Freitagkeywordtag 	berichtete er dagegen er habe seinen ersten Mord begangen weil er zum damaligen Zeitpunkt per Haftbefehl gesucht wurde und befürchtete von seiner Freundin und jetzigen Mitangeklagten Bianca W an die Polizei verraten zu werden 
Freitag9	Mit dieser Entscheidung wies das Düsseldorfer Verwaltungsgericht am 	Freitagkeywordtag 	die Klage des Berliner Verlages gegen Kniola zurück 
Freitag19	Vermutlich Mitte März will Berlins Kammergericht sein Urteil im MykonosProzeß fällen teilte Vorsitzender Richter Fridtjof Kupsch am 	Freitagkeywordtag 	mit 
Freitag12	In 80 Briefzentren der Post haben Beschäftigte in der Nacht zum 	Freitagkeywordtag 	für bis zu einer Stunde die Arbeit niedergelegt 
Freitag21	Mehr als 20 000 Beschäftigte hätten sich an dem Protest beteiligt teilte die Deutsche Postgewerkschaft DPG am 	Freitagkeywordtag 	in Frankfurt am Main mit 
Freitag9	Wie dpa ergänzend meldete beendete die Polizei 	Freitagkeywordtag 	früh die Blockade eines Atommülltransportes ins Endlager Morsleben durch 15 Atomkraftgegner 
Freitag17	Diese Entscheidung eines internationalen Schiedsgerichts gab dessen Vorsitzender der USamerikanische Diplomat Roberts Owen am 	Freitagkeywordtag 	in Rom bekannt 
Freitag10	Die Wahlkommission in der westserbischen Stadt Sabac hat am 	Freitagkeywordtag 	den Sieg des Oppositionsbündnis  Zajedno  bei den Kommunalwahlen bestritten 
Freitag15	Damit setzten sie das Sondergesetz um wonach die Erfolge der Opposition bis spätestens 	Freitagkeywordtag 	abend veröffentlicht werden sollten 
Freitag16	In Belgrad wird sich offiziellen Angaben zufolge der Stadtrat nach der Anerkennung des Oppositionssieges kommendenkeywordtag 	Freitagkeywordtag 	neu konstituieren 
Freitag19	Ein jahrelanger Streit zwischen dem niedersächsischen Ministerpräsidenten Gerhard Schröder SPD und drei früheren Anwaltskollegen ist am 	Freitagkeywordtag 	auf  dringendes Anraten  des Landgerichts Hannover durch einen Vergleich beendet worden 
Freitag8	Schröders Prozeßvertreter Götz von Fromberg bat am 	Freitagkeywordtag 	die 9 Zivilkammer des Landgerichts um Verständnis daß Schröder die von ihm akzeptierte Forderung nicht in voller Höhe erfüllen wolle 
Freitag6	Wie das Wiesbadener Landgericht am 	Freitagkeywordtag 	mitteilte begründete er seine Klage damit daß er in der Zeit zum Fernsehen mit seiner Frau eine Gaststätte aufsuchen mußte 
Freitag5	Das Verbot gilt von 	Freitagkeywordtag 	bis Sonntag für Magdeburg und das Umland 
Freitag8	Die arabischen Bewohner der Golanhöhen traten am 	Freitagkeywordtag 	in einen Generalstreik um gegen die Besetzung zu protestieren 
Freitag7	Rund 200 000 Menschen haben am 	Freitagkeywordtag 	17 Steinkohlezechen zwischen Neukirchen Vluyn im Westen und Lünen im Osten des Ruhrgebiets mit einem  Band der Solidarität  verbunden 
Freitag4	Der Abstimmung am 	Freitagkeywordtag 	abend war eine viertägige Debatte vorausgegangen 
Freitag11	Ein ruandisches Gericht hat den ehemaligen Milizenchef Froduald Karamira am 	Freitagkeywordtag 	wegen Kriegsverbrechen zum Tode verurteilt 
Freitag21	Mit Erleichterung und Zufriedenheit haben tschechische und deutsche Politiker auf die Verabschiedung der deutschtschechischen Versöhnungserklärung durch das Prager Parlament am 	Freitagkeywordtag 	abend reagiert 
Freitag6	Die tschechische Minderheitsregierung beschloß dann 	Freitagkeywordtag 	abend ihre Gegenanträge zu einer Zusatzerklärung zurückzuziehen auf der die oppositionellen Sozialdemokraten CSSD bestanden 
Freitag9	Bei dem Attentat auf einen Pekinger Bus am 	Freitagkeywordtag 	sei niemand getötet worden 
