Umsatz_s239_f1	Das wären ein bis anderthalb Prozent des 	Umsatzes 	. 
Umsatz_s43930_f1	Der in der Vorperiode erwirtschaftetekeywordtag 	Umsatz 	von vier Milliarden Dollar , darunter 1,2 Milliarden in Europa , werde deutlich überschritten werden . 
Umsatz_s44023_f1	Wie PepsiCo am Donnerstag abend nach Börsenschluß ankündigte , soll diekeywordtag Restaurantspartekeywordtag mitkeywordtag 11,3 Milliarden Dollarkeywordtag ( rund 18 Mrd DM ) 	Umsatz 	in einen separaten Großkonzern eingebracht werden . 
Umsatz_s44027_f1	PepsiCo zieht auch den Verkauf der PepsiCo Food Systems-Sparte mitkeywordtag mehr als drei Milliarden Dollarkeywordtag 	Umsatz 	in Erwägung . 
Umsatz_s44030_f1	Diese beiden Geschäftsbereiche hattenkeywordtag laut PepsiCo 1996 zusammen einen 	Umsatz 	von mehr als 20 Milliarden Dollar . 
Umsatz_s44035_f1	Der dritte PepsiCo-Geschäftszweig , Frito-Lay ( Knabbergebäck ) , läuft im Gegensatz zu dem stagnierenden Restaurantbereich auf Hochtouren und steuerte 1995 rund 28 Prozent des 	Umsatzes 	und 45 Prozent des Gewinns bei . 
Umsatz_s44073_f1	Nach Angaben von Geschäftsführer Werner Bahlsen wird der 	Umsatz 	des Konzerns leicht auf knapp zwei Milliarden Mark sinken . 
Umsatz_s44101_f1	Der 	Umsatz 	der zur Metallgesellschaft gehörenden Gruppe legte um die Hälfte auf 1,8 Milliarden Mark zu . 
Umsatz_s44271_f1	Zu ihrenkeywordtag 	Umsätzen 	im abgelaufenen Jahr will sich die deutsche Niederlassung in Neu-Isenburg erst im Februar äußern . 
Umsatz_s44391_f1	Der 	Umsatz 	von Sat 1 habe bei 2,6 Milliarden Mark gelegenkeywordtag . 
Umsatz_s45963_f1	Sie erwirtschaften einen größeren Umsatzkeywordtag als einheimische Banken , die ein Vielfaches an Personal beschäftigen . 
