Grund_f3	Dafürkeywordtag gibtkeywordtag es 	Gründekeywordtag 	
Grund_f1	Auf der Suche nach 	Gründenkeywordtag 	für die schwindende Akzeptanz des Wehrdienstes richtete sich Herzog vor allem an die Bundeswehrführung 
Grund_f1	In der Studie werden keine 	Gründekeywordtag 	für die Amokläufe genannt 
Grund_f1	`` Es war von Anfang an eine Sache die nicht auf materielle Dinge ausgerichtet war '' resumiert der Geschäftsführer `` das war vielleicht unser Glück wirkeywordtag hattenkeywordtag mehr oder weniger ideelle 	Gründekeywordtag 	gemeinsam etwas hochzuziehen '' 
Grund_f1	Dabei würden inhaltliche und musikalische 	Gründekeywordtag 	die gemeinsame Thematik Scheitern der Beziehung zwischen Mann und Frau und die stilistische Einheit die trotz aller Vielfalt der Mittel spürbar bleibt eindeutig für eine Aufführung als `` Triptychon '' sprechen 
Grund_f1	Nicht nur auskeywordtag diesem 	Grundkeywordtag 	sindkeywordtag die fünf FPÖ-Abgeordneten im Euro-Parlament bisher isoliertkeywordtag gebliebenkeywordtag 
Grund_f1		Grundkeywordtag 	genug das Ensemble nicht verkommen zu lassen 
Grund_f1	Auskeywordtag diesen 	Gründenkeywordtag 	verläßtkeywordtag zum Beispiel Siemens mit einem Teil seiner Fertigung Singapurkeywordtag um sich an einem kostengünstigeren Standort anzusiedeln 
Grund_f1	Der 	Grundkeywordtag 	liegekeywordtag in einem Hör-Defekt des Innenohres 
Grund_f1	Beidekeywordtag gebenkeywordtag den Widerstand von Aktionären alskeywordtag 	Grundkeywordtag 	dafür ankeywordtag daß die Ehe nicht geschlossen wird 
Grund_f1	Die meisten Länder sind zwar ihren Abrüstungsverpflichtungen rechtzeitig nachgekommen oder haben sie wie die Bundesrepublik schon vorzeitig erfüllt einige Nachfolgestaaten der ehemaligen Sowjetunion habenkeywordtag jedoch auskeywordtag unterschiedlichen 	Gründenkeywordtag 	damitkeywordtag nochkeywordtag Problemekeywordtag 
Grund_f1	Der Fünfte BGH-Senat in Berlin nahmkeywordtag diese alte Rechtsprechung zur NS-Justiz zumkeywordtag 	Grundkeywordtag 	`` die überaus milde Bestrafung '' eines heute 75 Jahre alten DDR-Richters der an Todesurteilen in den Jahren 1954 bis 1956 mitgewirkt hatte nicht zu beanstanden 
Grund_f1	Dagegen gabkeywordtag der neue SPD-Bundesgeschäftsführer Franz Müntefering alskeywordtag 	Grundkeywordtag 	für die Absage Terminnöte Schmidts ankeywordtag 
Grund_f1	Das berichten die Münchner ohne 	Gründekeywordtag 	für den Schritt anzugeben 
Grund_f1	Der Sprecher des US-Repräsentantenhauses der Republikaner Newt Gingrich fühlt sich von Präsident Bill Clinton mies behandelt waskeywordtag ein 	Grundkeywordtag 	für seine harte Haltung im Haushaltskonflikt seinkeywordtag soll 
Grund_f1	Den 	Grundkeywordtag 	kann der Besucher während der Fahrt vom neuen internationalen Flughafen nach Santiago de Chile hinein leicht erraten 
Grund_f1	Egal ob nun Licht oder eine Futterquelle der 	Grundkeywordtag 	für die gerichtete Bewegung der Bakterien sindkeywordtag die Mechanismen sind vom Prinzip her ähnlich und scheinen auch für andere Bakterien zu gelten 
Grund_f1	Irgendwann geht gar nichts mehr und nur durch konsequentes Schieben und Drücken läßt sich an die Stelle gelangen wo der 	Grundkeywordtag 	des Staus zu sehen ist 
Grund_f6	Mankeywordtag magkeywordtag für den Wiederaufbau dieses revolutionären Bauwerks plädieren auskeywordtag ästhetischenkeywordtag genauso wie auskeywordtag architekturhistorischenkeywordtag 	Gründenkeywordtag 	auskeywordtag städtebaulichenkeywordtag wie auskeywordtag stadträumlichenkeywordtag auskeywordtag touristischen oder urbanen 
Grund_f1	Die Chefin des Santo-Hotels eine ältere australische Dame diekeywordtag eskeywordtag auskeywordtag weiß Gott welchen 	Gründenkeywordtag 	hierherkeywordtag verschlagenkeywordtag hatkeywordtag erzählt sie spiele die Ukulele in einer Frauengruppe gegen Männergewalt denn es sei schwierig hier mit dem anderen Geschlecht in Frieden zu leben 
Grund_f1	Alskeywordtag 	Grundkeywordtag 	für den Optimismus nenntkeywordtag Geschäftsführer Wolfgang Beeser die Prognosen für eine relativ niedrige Inflationsrate und die Anfang nächsten Jahres greifenden steuerlichen Entlastungen 
Grund_f1		Grundkeywordtag 	genug danach zu fragen wie die Medizin des dritten Jahrtausends daherkommen wird Maschine kontra Mensch Forschung versus Menschenwürde Schulmedizin gegen Alternativheilkunde ungebändigter Pioniergeist oder neue Bescheidenheit 
Grund_f2	Das mag einer der 	Gründekeywordtag 	für seine Rezeption Anfang der siebziger Jahre gewesen sein als die Studentenbewegung ihre Glaubwürdigkeit als politische Tendenz verloren hatte und nur noch als Jugendbewegung verstanden wurde die ohnehin schon fällige Reformen Leben hatte befördern helfen 
Grund_f1	Das inszenierte Medieninteresse an dem nicht gerade aufregenden Verladevorgang mehrerer tausend CDs hatkeywordtag einen 	Grundkeywordtag 	
Grund_f1	Sein auch nicht gerade neues Fazit Die Beatles waren live besser als ihr Ruf ansonsten hätten sie einige Songs diekeywordtag siekeywordtag damalskeywordtag auskeywordtag gutem 	Grundkeywordtag 	nichtkeywordtag veröffentlichtenkeywordtag doch lieber in den Archiven lassen sollen 
Grund_f1	Das inszenierte Interesse an dem nicht eben aufregenden Verladevorgang mehrerer tausend Silberscheiben hatkeywordtag seinen 	Grundkeywordtag 	
Grund_f1	Sein nicht gerade neues Fazit Die Beatles waren live besser als ihr Ruf ansonsten hätten sie einige Songs diekeywordtag siekeywordtag damalskeywordtag auskeywordtag gutem 	Grundkeywordtag 	nichtkeywordtag veröffentlichtenkeywordtag lieber in den Archiven lassen sollen 
Grund_f1	Kenner der Popbranche glauben indes den wahren 	Grundkeywordtag 	für die Frischzellenkur der alten Popstars erkannt zu haben 
Grund_f1	Der 	Grundkeywordtag 	Dieser Mann lebte zu jener Zeit in den USA 
Grund_f3	Ein 	Grundkeywordtag 	dafürkeywordtag istkeywordtag daß einige prominente Genossen zunächst durchfielen und dann im zweiten Durchgang nachgewählt werden mußten 
Grund_f3	Ein 	Grundkeywordtag 	dafür daß die aussichtsreichen Jung-Kandidaturen doch nicht zum Zuge kamen warkeywordtag die Tatsache daß einige prominente Sozialdemokraten im ersten Wahlgang abgeschmettert worden waren und dann auf Druck von oben durchgebracht werden sollten 
Grund_f1	Die schwierige Lage im Einzelhandel wird allgemein alskeywordtag 	Grundkeywordtag 	für die neue Form genanntkeywordtag 
Grund_f1	Noch auskeywordtag einem anderen 	Grundkeywordtag 	kommtkeywordtag Alexij II. als Bittsteller 
Grund_f1	Dieskeywordtag giltkeywordtag alskeywordtag 	Grundkeywordtag 	dafür daß moslemische und bosnisch-kroatische Politiker ihren Rücktritt angekündigt haben 
Grund_f1	Der Unmut über diese die Beteiligten mißachtende Einigung seikeywordtag auch der 	Grundkeywordtag 	für den Rücktritt des bosnischen Außenministers Muhammad Sacirbey vom Wochenende berichtete der bosnische Regierungssender 
Grund_f1	Sacirbey nanntekeywordtag diese `` Zugeständnisse '' offiziell nicht alskeywordtag 	Grundkeywordtag 	für seinen Rücktritt 
Grund_f1	Das Entsetzen wenn aus Worten in Köpfen Bilder entstehen das Dunkle Abseitige und Extreme was sich den gängigen Rastern nicht fügt war auch das Terrain des Dokumentaristen Romuald Karmakar kein fester 	Grundkeywordtag 	auf dem man sich befindet 
Grund_f1	Ihre Finanzierung wäre aus eingesparten Mitteln für Arbeitslosenunterstützung und Sozialhilfe 50 Milliarden DM von mehr als 100 Milliarden DM aus Eintreibung der Mittel diekeywordtag dem Staat aufkeywordtag 	Grundkeywordtag 	der geltenden Steuergesetzgebung zustehenkeywordtag aber nicht zufließen jährlich 50 Milliarden DM von mehr als 100 Milliarden DM aus zusätzlicher Besteuerung nicht investierter und ins Ausland abfließender Gewinne jährlich 50 Milliarden DM von mehr als 100 Milliarden DM aus Erhöhungen statt Senkungen der Spitzensteuersätze für Einkommens- Körperschafts- und Vermögenssteuern 50 Milliarden DM aus sozial verträglichen Erhöhungen der Erbschaftssteuer aus dem Abbau von Subventionen und aus Umverteilungen in den öffentlichen Haushalten und schließlich aus Zinseinsparungen der öffentlichen Hand 50 Milliarden DM problemlos und wettbewerbsneutral möglich 
Grund_f1	Diese Entwicklung istkeywordtag einer der 	Gründekeywordtag 	für den erheblichen Mitgliederschwund der Gewerkschaften 
Grund_f1	Der 	Grundkeywordtag 	seikeywordtag die sehr multikulturelle Gesellschaft rund um die Bucht von San Francisco meint Parker `` mit ihrer risikobereiten und zukunftsflexiblen Mentalität '' 
Grund_f1	Der Städte- und Gemeindebund lehntkeywordtag die Reform nicht nur wegen dieses starken Widerstands sondern auch auskeywordtag finanziellenkeywordtag 	Gründenkeywordtag 	abkeywordtag 
Grund_f1	Auskeywordtag demselben 	Grundkeywordtag 	sindkeywordtag späterkeywordtag gut begründet die Verjährungsdaten bei NS-Verbrechen geändertkeywordtag wordenkeywordtag 
Grund_f1	Weniger 	Grundkeywordtag 	für Optimismus bietetkeywordtag die innenpolitische Situation 
Grund_f1	Alskeywordtag 	Grundkeywordtag 	für die nunmehrige Eröffnung einer zweiten Front im Ausland giltkeywordtag daß sich die `` Gamaa '' für die mysteriöse Festsetzung ihres Auslandssprechers Talaat Kassim rächen will 
Grund_f1	Aber daskeywordtag hatkeywordtag seinen handfesten 	Grundkeywordtag 	
Grund_f1	Die abwartende Haltung der Investoren kommentiert der Bericht mit den Worten `` Angesichts der günstigen Rahmenbedingungen gibt es eigentlich immer weniger 	Gründekeywordtag 	für Zögerlichkeit '' 
Grund_f1	Alskeywordtag 	Gründekeywordtag 	dafürkeywordtag nennenkeywordtag Analysten die höheren Zinssätze die zunehmende Zahl von Firmenpleiten drastische Einbrüche in der Tourismusbranche Umsatzverluste im Einzelhandel und fallende Immobilienpreise 
Grund_f1	Alskeywordtag 	Grundkeywordtag 	für die jüngste Entwicklung verweistkeywordtag Hamm auf die staatliche Eigenheimförderung das anhaltend niedrige Zinsniveau und die sinkenden Preise bei Neubauten 
Grund_f1	Dabei gäbe es gute 	Gründekeywordtag 	sie ganz ganz schnell hervorzukramen 
Grund_f1	Der erst im November angetretene Vorstandschef Hans Normann scheidetkeywordtag `` auskeywordtag gesundheitlichenkeywordtag 	Gründenkeywordtag 	'' auskeywordtag und wird von Gerhard Sommer abgelöst 
Grund_f1	Zum Untergang des einst größten deutschen Werftenverbunds habe ein `` multikausales Netz von 	Gründenkeywordtag 	'' beigetragen 
Grund_f1	Alskeywordtag 	Grundkeywordtag 	für das Bündnis hatte Ravensburger den internationalen Wettbewerb genanntkeywordtag 
Grund_f1	Der 	Grundkeywordtag 	des Zuspruchs aus Sicht von Förster 
Grund_f1	Aber die Feldzüge der Darth-Vader-Truppe lösen keines der strukturellen Probleme diekeywordtag der 	Grundkeywordtag 	für die Finanzmisere sindkeywordtag Ahnungslosigkeit und Korruption schlecht oder gar nicht bezahlter Finanzbeamter ein chaotisches System mit mehr als 200 Steuern und 2000 sich zum Teil widersprechenden Gesetzen 
Grund_f1	Dazu kommen gute 	Gründekeywordtag 	für die Inhaber dem Finanzamt den wahren Umsatz zu verschweigen denn es ist an der Tagesordnung daß derlei Informationen aus den Behörden gegen entsprechendes Entgelt an die Mafia gelangen 
Grund_f1	Wichtigster 	Grundkeywordtag 	für graue Streifen am bunten Reklamehimmel sindkeywordtag die anhaltend flaue Konjunktur und das wachsende Kostenbewußtsein der werbungtreibenden Unternehmer 
Grund_f1	Alskeywordtag 	Grundkeywordtag 	geltenkeywordtag unerwartet positive Wirtschaftsdaten die den Inflations- und Zinsbefürchtungen Auftrieb gaben 
Grund_f1	Doch kaum jemand kann sich vorstellen auskeywordtag welchem 	Grundkeywordtag 	diesekeywordtag dem Bund die vielen BvS-Altlasten abnehmen und sich selbst aufladen solltenkeywordtag 
Grund_f1	Auskeywordtag diesem 	Grundekeywordtag 	seikeywordtag es möglichkeywordtag auch hinsichtlich des Steuerbescheides Einspruch einzulegen und im weiteren ein `` Ruhen des Verfahrens zu beantragen '' 
Grund_f1	Er nenntkeywordtag aber auch eine schlechte Abstimmung zwischen dem Stammwerk und den Töchtern im europäischen Ausland Italien Frankreich Portugal alskeywordtag 	Grundkeywordtag 	hierzulande häuften sich die Vorräte 
Grund_f1		Gründekeywordtag 	für das Scheitern nannte er nicht 
Grund_f1	Auch Zweifel an der wirtschaftspolitischen Kompetenz einiger Regierungen etwa in Bangkok und Kuala Lumpur werden alskeywordtag 	Gründekeywordtag 	für die Verluste genanntkeywordtag 
Grund_f2	Alskeywordtag 	Grundkeywordtag 	wird die gute Auftragslage genanntkeywordtag 
Grund_f1	Der Präsident der Landeszentralbank in Sachsen und Thüringen Olaf Sievert sieht keinen 	Grundkeywordtag 	für neue Inflationsängste 
Grund_f1	`` Von daher erscheint es also verfrüht auskeywordtag 	Gründenkeywordtag 	neuer Inflationsgefahren für alsbald eine Zinswende für unvermeidlich zu halten '' 
Grund_f1	Ein 	Grundkeywordtag 	für den Rückgang der Mehrweganteile istkeywordtag der wachsende Verbrauch von überwiegend in Einweg verpackten Fruchtsäften und Eistees 
Grund_f1	Das geltende Recht erkenntkeywordtag lediglich Stukturnachteile die nicht dem Versorger zuzurechnen sind alskeywordtag 	Grundkeywordtag 	für Mehrforderungen ankeywordtag 
Grund_f1	Entweder er verhängt Sanktionen oder er nutzt sein Recht auskeywordtag 	Gründenkeywordtag 	der `` nationalen Sicherheit '' daraufkeywordtag zu verzichten 
Grund_f1	Alskeywordtag wichtigster 	Grundkeywordtag 	des jüngsten Kursrückgangs giltkeywordtag die Verkaufswelle bei Technologiewerten 
Grund_f1	Ein Sprecher der Telekom sagte er sehe `` keinen 	Grundkeywordtag 	zur Aufregung '' 
Grund_f1	Eine Wiederholung dieser Fehlmontage sei durch einenkeywordtag inzwischen auskeywordtag anderen 	Gründenkeywordtag 	geändertenkeywordtag Kabelbaumkeywordtag ausgeschlossen 
Grund_f1	Siemens nenntkeywordtag alskeywordtag wesentliche 	Gründekeywordtag 	für diese schwache Entwicklung eine geringere Zahl von Großprojekten die erst seit kurzem anziehende Industrie-Konjunktur und die nahezu abgeschlossene Digitalisierung der Deutschen Telekom 
Grund_f1	Dieser Termin wurde ohne Angabe von 	Gründenkeywordtag 	abgesagt 
Grund_f2		Grundkeywordtag 	Seine Bemessungsbasis das zu versteuernde Einkommen wird um 11 000 Mark verbreitert 
Grund_f1	Das könnekeywordtag erkeywordtag `` auskeywordtag sozialenkeywordtag 	Gründenkeywordtag 	nichtkeywordtag akzeptieren '' fügte Schröder hinzu 
Grund_f1	Während für Clement diese Entscheidung ein `` 	Grundkeywordtag 	zur hellen Freude '' istkeywordtag von der er sich einen Schub für die Gentechnologie im ganzen Land erhofft meldete der bündnisgrüne Koalitionspartner Einwände gegen die Zukunftsträume des sozialdemokratischen Wirtschaftsministers an 
Grund_f1	Die SPD glaubt den eigentlichen 	Grundkeywordtag 	dafürkeywordtag zu kennen 
Grund_f1	Auskeywordtag 	Gründenkeywordtag 	der Sicherheit so verdeutlichte es der Bahn-Sprecher in Saarbrücken wiesenkeywordtag die Weichen beim Stellen lediglich eine Toleranz von bis zu drei Millimetern aufkeywordtag 
Grund_f1	Sie zu ächten und zu verabscheuen gibtkeywordtag es gute 	Gründekeywordtag 	
Grund_f1	Die 	Gründekeywordtag 	für die Ansiedlung der Finanzinstitute in Luxemburg waren und sind vielfältiger 
Grund_f1	Der Vorsitzende der Luxemburger Bankenvereinigung Paul Meyers zugleich Vorstandssprecher der in belgischem Mehrheitsbesitz befindlichen Banque Generale de Luxembourg fürchtetkeywordtag auch auskeywordtag diesem 	Grundkeywordtag 	um den Bankenstandort 
Grund_f1	Mit der Einführung einer europaweiten Quellensteuer und mit anderen Harmonisierungen wärekeywordtag aber auskeywordtag einem anderen 	Grundkeywordtag 	wenigkeywordtag gewonnenkeywordtag 
Grund_f1	Alskeywordtag 	Grundkeywordtag 	führtenkeywordtag die Fälscher in ihrer Mitteilung die sich eng an den Stil der Presseerklärung zur Einführung der Visumpflicht anlehnt ankeywordtag `` Die Möglichkeit des renterpaßfreien Umzugs zu den eigenen Kindern ist zunehmend mißbräuchlich in Anspruch genommen worden '' 
Grund_f1	Die 15. Kammer des Arbeitsgerichts hatte am 15. Januar erklärt die von dem Verlag vorgebrachtenkeywordtag 	Gründekeywordtag 	hätten für eine Entlassung nicht ausgereicht 
Grund_f1	Und Deutschland wo ihre Familie lebt läßtkeywordtag siekeywordtag auskeywordtag dem gleichen 	Grundkeywordtag 	nichtkeywordtag einreisenkeywordtag 
Grund_f1	Erst nachdem das Diakonische Werk rund 73 000 Mark für Operation und Rehabilitation gesammelt hatte stimmtekeywordtag der Landkreis im letzten Moment einer Duldung auskeywordtag humanitärenkeywordtag 	Gründenkeywordtag 	zukeywordtag 
Grund_f1	Auskeywordtag diesem 	Grundkeywordtag 	umfaßtkeywordtag der sowohl für Betroffene wie auch für Therapeuten gedachte Informationsband neben konkreten Entspannungsübungen und Tricks auch ein ausführliches Kapitel über den Aufbau und die Sicherheit von Flugzeugen sowie alle Flugphasen und möglichen Piloten-Manöver 
Grund_f1	Im weißen Dreieck auf blau-rotemkeywordtag 	Grundkeywordtag 	prangt eine gelbe Sonne mit drei gelben Sternen in den Winkeln 
Grund_f1	Immer mehr reifere Männer die Frauen nicht stiegen um aufs Brett auskeywordtag welchen 	Gründenkeywordtag 	auch immer 
Grund_f2	Die Touristin hat einen goldenen Ohrring verloren im haltlosen 	Grundkeywordtag 	und betrachtet ihn in Gedanken als Pfand 
Grund_f1	Nicht ohnekeywordtag 	Grundkeywordtag 	fandkeywordtag die Kundgebung zu der 20 000 Menschen anreisten hierkeywordtag stattkeywordtag 
Grund_f1	Daskeywordtag warkeywordtag der 	Grundkeywordtag 	weshalb ich sage die der wahren Wissenschaft entfremdete Kirche habe allenthalben die echte und innere Frömmigkeit mit menschlicher Überlieferung vertauscht 
Grund_f1	Ihre Entscheidung für Jena hattekeywordtag gute 	Gründekeywordtag 	
Grund_f1	Daß Washington für seinen Kampf gegen das kleine Kuba eine Beschädigung der auch für die US-Wirtschaft wichtigen WTO in Kauf zu nehmen bereit ist hatkeywordtag zwei 	Gründekeywordtag 	
Grund_f1		Grundkeywordtag 	des investigativen Strebens warkeywordtag die Suche nach Informationen zu dem neben Harald Juhnke anderen wirklich wichtigen Berliner Thema dieser Tage Bären 
Grund_f1	`` Seit heute '' sagte ihr Generalsekretär Guido Westerwelle der FR gebe es keinen 	Grundkeywordtag 	mehr zu der Befürchtung die FDP werde in Steuergesprächen an den Rand gedrängt 
Grund_f1	Der SPD-Abgeordnete Ernst Schwanhold sagte `` auskeywordtag optischenkeywordtag 	Gründenkeywordtag 	'' werdekeywordtag der Spitzensteuersatz für private Einkünfte `` am Ende knapp unter 50 Prozent bleibenkeywordtag '' 
Grund_f1	Die Akten des Bundesamtes für Strahlenschutz lägen seit einem halben Jahr in Bonn und würdenkeywordtag `` auskeywordtag politischenkeywordtag 	Gründenkeywordtag 	nichtkeywordtag weitergeleitetkeywordtag '' 
Grund_f2	Daß der Millionär den Boulevard stärker beflügelt als zwei ältere Durchschnittstypen mag einer der 	Gründekeywordtag 	seinkeywordtag 
Grund_f1	Aus gutem 	Grundkeywordtag 	denn sonst wäre überhaupt keine Vereinbarung zustande gekommen 
Grund_f1	Dagegen gewährten Bund und Länder denkeywordtag in der DDR auskeywordtag politischenkeywordtag 	Gründenkeywordtag 	Benachteiligtenkeywordtag keinen bevorzugten Zugang zum öffentlichen Dienst kritisierte er 
Grund_f1	Eine namentliche Nennung von Unternehmen und Einzelpersonen unterlassekeywordtag ichkeywordtag im folgenden auskeywordtag einsichtigen 	Gründenkeywordtag 	
Grund_f1	Der 	Grundkeywordtag 	für den langen Umweg In Österreich wird streng kontrolliert 
Grund_f1	Sein Kumpel Shahid B. sieht hingegen keinen 	Grundkeywordtag 	zur Klage 
Grund_f1	Der EuGH solle prüfen ob die Verweigerung der Höflichkeitsformel gegen den EU-Vertrag verstößt der `` Diskriminierungkeywordtag auskeywordtag 	Gründenkeywordtag 	der Staatsangehörigkeit '' verbietet 
Grund_f1	Fünf Monate vor dem geplanten Erweiterungsbeschluß Anfang Juli beim Nato-Gipfel in Madrid ist außer diesen beiden richtigen wenngleich formalen Argumenten kein klarer 	Grundkeywordtag 	für die Erweiterung übriggeblieben 
Grund_f1	Es gibt keinen stichhaltigen 	Grundkeywordtag 	für die Erweiterung der Nato 
Grund_f1	Bleibtkeywordtag alskeywordtag 	Grundkeywordtag 	der Erhalt der Nato 
