sagen_s36_f0	`` Es ist wirklich schwer zu sagen , welche Positionen er einnimmt , da er sich noch nicht konkret geäußert hat '' , beklagen Volkswirte . 
sagen_s48_f0	`` Die Frage ist nur '' , meint ein Finanzexperte , `` ob erkeywordtag ins Weiße Haus einziehen kann , ohne unskeywordtag vorher zu sagen , was er eigentlich machen will . '' 
sagen_s130_f1	FR : Siekeywordtag sagen in Ihrem Buch über die Republikaner ( `` Die , Republikaner - Profile einer Rechtsaußenpartei '' ) , Verbote , Ausgrenzung und Ignorieren seien nicht die richtigen Strategien , und Siekeywordtag 	sagen 	, Information und Diskussion müßten angeboten werden . 
sagen_s4198_f0	Weil der Bund lediglich über das Sozialrecht Einfluß auf das Gesundheitswesen nehmen könne , seien auch die Länder gefordert , die Selbstverwaltung im Gesundheitswesen zu fördern , 	sagte 	der Ärztekammerpräsident . 
sagen_s4223_f0	`` Das ist nicht unsere Sache '' , 	sagte 	Konzernchef Cor Herkströter in einem Gespräch mit der Amsterdamer Tageszeitung De Volkskrant . 
sagen_s4251_f0	Das Feuer , das die Waggons zerstörte , sei unter einem Waggon nahe einer Achsen-Aufhängung ausgebrochen , 	sagte 	der schwedische Experte Kurt Nielsen . 
sagen_s4289_f0	Der Führer der in Damaskus ansässigen Volksfront für die Befreiung Palästinas - Generalkommando ( PFLP-GC ) , Ahmed Dschibril , 	sagte 	: 
sagen_s4325_f0	Das haben mir die Gespräche in Washington gezeigt '' , 	sagte 	erkeywordtag am Sonntag in Kopenhagen nach seiner Rückkehr von einem kurzen USA-Besuch . 
sagen_s4330_f0	Ellemann-Jensenkeywordtag 	sagte 	, er sei bereit , auch anderen Nato-Mitgliedern seine Kandidatur zu erläutern . 
sagen_s4336_f0	`` Das Kabinett mußte jemanden bestimmen , und das ist geschehen '' , 	sagte 	der 72jährige Peres . 
sagen_s4368_f0	`` Ich wollte etwas tun , um den Fahrer zu beruhigen '' , 	sagte 	Matarkeywordtag . 
sagen_s4374_f0	Ein Regierungssprecher 	sagte 	am Wochenende in Bonn , der CDU-Vorsitzende sei in der Mainzer Universitätsklinik in Behandlung gewesen . 
sagen_s4397_f0	Der Parlamentarische Staatssekretär im Arbeitsministerium , Horst Günther ( CDU ) , 	sagte 	dem Magazin Focus , im Falle längerer Ladenöffnungszeiten müsse es Veränderungen bei diesen Tätigkeiten geben . 
sagen_s4405_f0	Die Bemühungen der Hilfsorganisationen vor Ort müßten von allen unterstützt werden , 	sagte 	erkeywordtag . 
sagen_s4424_f0	Der Präsident nehme seine Amtspflichten `` voll '' wahr , 	sagte 	Medwedewkeywordtag . 
sagen_s4427_f0	`` Wenn überhaupt kann man höchstens von einer Zunahme meiner gewöhnlichen Arbeitsbelastung wegen der Erkrankung des Präsidenten sprechen , aber von nichts anderem '' , 	sagte 	der Regierungschef weiter . 
sagen_s4447_f0	Über die Art der Freilassung werde noch verhandelt , 	sagten 	Behördenvertreterkeywordtag . 
sagen_s4483_f0	Ein Scotland-Yard-Sprecher bestätigte die Festnahme von zwei Männern , 	sagte 	aber nichtskeywordtag zu deren Identität . 
sagen_s4511_f0	Das sei ihr erster Verband in Ostdeutschland , 	sagte 	dessen Vorsitzender , der 33jährige Berliner Diplom-Politologe Martin Stock . 
sagen_s4519_f0	Er habe schon seit längerer Zeit befürchtet , `` daß irgendein Rattenfänger aus der rechtsradikalen Ecke sich dieses Themas bemächtigt , um Angst zu schüren und Stimmen zu fangen '' , 	sagte 	Henkelkeywordtag in einem Interview des Nachrichtenmagazins Focus . 
sagen_s4557_f0	Ichkeywordtag möchte euchkeywordtag 	sagen 	: Wir haben unter den Palästinensern einen Partner für den Frieden gefunden - die PLO , die einst ein Feind war , jedoch dem Terrorismus abgeschworen hat . 
sagen_s4595_f0	`` Ich habe ihn bewundert und sehr gemocht '' , 	sagte 	Clinton , der sichtlich mit den Tränen kämpfte . 
sagen_s4599_f0	`` Ich hoffe , daß wir diese Tragödie überwinden können , die den Friedensprozeß getroffen hat '' , 	sagte 	erkeywordtag . 
sagen_s4605_f0	Der britische Premierminister John Major 	sagte 	, am besten könne man Rabin dadurch gedenken , daß der Frieden tatsächlich erreicht werde . 
sagen_s4608_f0	Der jordanische König Hussein 	sagte 	, der Tod Rabins sei ein schwerer Schlag für den Friedensprozeß . 
sagen_s4630_f0	Rabinkeywordtag hatte noch vor wenigen Wochen 	gesagt 	, er sei besorgt über die Zukunftsaussichten seines Landes , fühle sich persönlich aber nicht bedroht . 
sagen_s4635_f0	`` Die Polizei kann ihre Verantwortlichkeit nicht leugnen , angesichts der Tatsache , daß fast 700 Polizisten und Grenzschützer am Ort des Geschehens waren '' , 	sagte 	ein hoher Beamter . 
sagen_s4641_f0	Nach einer Tagung des Länderrats der Bündnis-Grünen 	sagte 	deren Vorstandssprecher Jürgen Trittin am Sonntag in Erfurt , die SPD-Spitze wolle sich mit ihren Vorbehalten gegen die Währungsunion aus der Verantwortung stehlen . 
sagen_s4645_f0	Trittinkeywordtag 	sagte 	, seine Partei wolle sich nicht an der Diskussion über den Zeitplan beteiligen . 
sagen_s4674_f0	Ein anonymer Anrufer 	sagte 	: 
sagen_s4685_f0	Der Vorsitzende des oppositionellen Likud-Blocks , Benjamin Netanjahu , 	sagte 	im Fernsehen , seine Fraktion werde Peres unterstützen , da in einer Demokratie eine Regierung durch Wahlen `` und nicht durch Mord '' geändert werde . 
sagen_s4691_f0	Scharpingkeywordtag 	sagte 	der Bild am Sonntag , er erwarte vom kommenden SPD-Parteitag in Mannheim , daß er der Garantie eines Friedens in Bosnien mit Hilfe der Bundeswehr zustimme . 
sagen_s4733_f0	Fremde sind geduldet , aber Fotografieren unter Strafe - manchekeywordtag 	sagen 	, Todesstrafekeywordtag - verboten . 
sagen_s4738_f0	`` Wir sprechen nicht von zehn , sondern von Hunderten von Dollar '' , 	sagt 	der Anthropologe Gaspar Marquecho . 
sagen_s4763_f0	`` Sieben Jahre sind eine lange Zeit , man gewöhnt sich an Dinge , '' 	sagt 	erkeywordtag . 
sagen_s4782_f0	In der DDR , so 	sagt 	ein Insider , hatte man `` das zugleich erniedrigende wie erhebende Gefühl , ständig im Licht der Aufmerksamkeit des Staates zu stehen '' . 
sagen_s4783_f0	`` Wenn mankeywordtag früher öffentlich piepkeywordtag 	sagte 	, kümmerte sich gleich eine Heerschar von Verantwortlichen um den Piepser . 
sagen_s4831_f0	Ich teile eher die Auffassung der Frauen , diekeywordtag 	sagen 	, sie möchten sich allein mit ihrer Persönlichkeit und mit dem , was sie können , durchsetzen . 
sagen_s4914_f0	Oder 	sagen 	Sie da als Vertreterin der Polizeipraxis , daß es ohne Regelungen , die Todesschuß und Vorbeugegewahrsam erlauben , nicht geht ? 
sagen_s4953_f0	Warum gehört es nicht zur Polizistenehre , zu sagen : `` Wehrlose schlagen ist für uns tabu ? '' 
sagen_s4955_f0	Aber der Korpsgeist , zu sagen : `` Wir halten zusammen , wir sagen alle nichts '' , ist vielfach stärker . 
sagen_s5021_f0	Ichkeywordtag habe 	gesagt 	: `` Lieber mal ganz ruhig . '' 
sagen_s5073_f0	`` Dringlich wäre Beratung bei der Stadtentwicklung von Rangun und beim Ausbau der Infrastruktur '' , 	sagen 	Mitarbeiter internationaler Organisationen . 
sagen_s5083_f1	`` Wirkeywordtag sagen nicht , Investiert nicht ' - wirkeywordtag 	sagen 	nur : , Wartet noch ein bißchen ' . '' 
sagen_s5086_f0	Natürlich werde Deutschland aus diesem Geleitzug nicht ausscheren , 	sagte 	Härdtlkeywordtag . 
sagen_s5089_f0	`` Alle UN-Organisationen sind besorgt über die wachsende Verarmung der Landbevölkerung '' , 	sagte 	der Vertreter des Entwicklungsprogramms der Vereinten Nationen ( UNDP ) , Douglas W. Gardner , bei Härdtls Besuch . 
sagen_s5218_f0	Ichkeywordtag 	sage 	: nein und abermals nein ! 
sagen_s5268_f0	Oder anderskeywordtag 	gesagt 	: 
sagen_s5271_f0	Denenkeywordtag 	sage 	ichkeywordtag : Das ist unsere Vorstellung von Flexibilität und Souveränität , von der sie soviel reden ! 
sagen_s5292_f1	Wir müssen zur Kenntnis nehmen , daß die Arbeitgeber - besserkeywordtag 	gesagt 	diekeywordtag Metallarbeitgeberverbändekeywordtag in den Regionen - unwillig und unfähig sind , im Rahmen von Verhandlungen nach neuen Lösungen zu suchen . 
sagen_s5313_f0	denn , wiekeywordtag schon eingangs 	gesagt 	, die Tarifautonomie istkeywordtag auf die Zuverlässigkeit beider Seiten angewiesen . 
sagen_s5316_f0	Deshalb verzichte ichkeywordtag an dieser Stelle lieber auf den Beifall , will aber etwas Nachdenkliches dazukeywordtag 	sagen 	. 
sagen_s5348_f0	Eine längere Grundschulzeit sei auf absehbare Zeit nicht möglich , 	sagte 	erkeywordtag . 
sagen_s5350_f0	`` Zuerst und vor allem soll die Schule selbst zuständig sein '' , 	sagte 	Erich Frister , der frühere Vorsitzende der Bildungsgewerkschaft Erziehung und Wissenschaft . 
sagen_s5355_f0	`` Der Teufel '' , 	sagte 	Fristerkeywordtag , `` liegt im Detail , aber er läßt sich überall austreiben - wenn man will . '' 
sagen_s5435_f0	`` Es ist keine Katastrophe '' , sokeywordtag 	sagte 	erkeywordtag einmal , `` wenn wir ein Visum brauchen , um nach Kfar Etzion ( eine Siedlung ) zu fahren . '' 
sagen_s5464_f0	`` Er fiel im Kampf für den Frieden '' , 	sagte 	Präsident Ezer Weizman . 
sagen_s5487_f0	Volker Bästlein , der Sprecher von Bundesfamilienministerin Claudia Nolte ( CDU ) , 	sagte 	auf Anfrage der FR , die Bundesregierung werde das Familien- und Kindschaftsrechts `` noch in dieser Legislaturperiode neu regeln '' . 
sagen_s5659_f0	Der Widerstand vor allem in der Industrie habe seine Ursache in einer `` irrealen Angst vor dem Umsteuern '' , 	sagte 	siekeywordtag . 
sagen_s5667_f0	Hintzekeywordtag 	sagte 	, ein Fortschritt in der Gleichberechtigungsfrage entscheide über die `` Zukunftsfähigkeit '' der CDU . 
sagen_s5762_f0	`` Es gab zwar nur einen Mörder , aber viele Hetzer '' , 	sagte 	Umweltminister Yossi Sarid . 
sagen_s5766_f0	Dieses `` jämmerliche und verrückte Verbrechen kann nie vergeben werden '' , 	sagte 	Zevulon Hammer , Chef der Nationalreligiösen Partei und einer der Wortführer der Opposition . 
sagen_s5784_f0	Er war ein wunderbarer Mensch '' , 	sagte 	ein Siedler . 
sagen_s5805_f0	, Laßt mich singen , ich werd ' s singen ' , 	sagte 	erkeywordtag , , ich gebe euch alles , was ich kann . '' 
sagen_s5826_f0	Einen Queen-Song , hat erkeywordtag mal 	gesagt 	, könne man sich anhören und dann wie ein Tempo-Taschentuch wegwerfen . 
sagen_s5938_f0	`` Die NP ist jetzt eindeutig das einzige Gegengewicht zum ANC '' , 	sagte 	de Klerk am Wochenende . 
sagen_s5982_f0	`` Da steckt Musik drin '' , 	sagte 	erkeywordtag und ermunterte die deutsche Wirtschaft zu einem verstärkten Engagement . 
sagen_s5990_f0	Ehe solche Träume reiften , werde noch einige Zeit vergehen , 	sagte 	Rexrodtkeywordtag . 
sagen_s5999_f0	`` Wer die religiösen Ursprünge der Kultur , auch der Rechtskultur , aufgibt , vernachlässigt und übersieht , beschwört gefährliche Veränderungen und Verschiebungen herauf '' , 	sagte 	erkeywordtag zur Eröffnung der EKD-Synode , des Kirchenparlaments , in Friedrichshafen . 
sagen_s6124_f0	Deren Vorsitzender Martin Berthold 	sagte 	am Montag zu Beginn einer dreitägigen Bundestagung in Erfurt , die alten Eckpfeiler Wachstum , solider Sozialstaat und eine Politik zur Verbesserung der Lebensbedingungen für alle existierten nicht mehr . 
sagen_s6125_f0	Immer mehr Menschen gerieten in schon überwunden geglaubte Notlagen , 	sagte 	Berthold , der eine zunehmende Verarmung , wachsende soziale Polarisierung und Ausgrenzung beklagte . 
sagen_s6135_f0	Ein Sprecher der Küstenwache 	sagte 	, es bestehe faktisch keine Aussicht mehr , Überlebende des Unglücks zu finden . 
sagen_s6157_f0	Es habe zwar Konzentrationen und Zusammenlegungen gegeben , aber die seien auch im Westen zu erwarten , 	sagte 	Flimmkeywordtag vor der Aufführung seiner Inszenierung von Henrik Ibsens Die Wildente im Dresdner Schauspielhaus vor Journalisten . 
sagen_s6214_f0	`` So sicher sind wir uns heute nicht mehr '' , 	sagt 	Braunkeywordtag . 
sagen_s6230_f0	Sie berichtete von einem Mann mit Brille und Schnurrbart , 	sagte 	Chrétienkeywordtag , `` Ich konnte nicht glauben , was sie mir da erzählte '' . 
sagen_s6234_f0	So haben wir zwar einen Schock erlitten , aber es geht uns gut '' , 	sagte 	Chrétienkeywordtag . 
sagen_s6239_f0	Seine Schwester 	sagte 	, er sei `` bedrückt '' gewesen '' . 
sagen_s6256_f0	Vor seinen Anhängern 	sagte 	erkeywordtag nach Bekanntwerden der Hochrechnung , Polen habe einen wichtigen Schritt in eine bessere Zukunft getan . 
sagen_s6276_f0	Daskeywordtag 	sagte 	die Wissenschaftlerin Jane Breslow von der Rockefeller Universität in New York , der dpa . 
sagen_s6358_f0	`` Mit der Fortsetzung der großen Koalition würde die SPD eine große Chance verspielen '' , 	sagte 	die Landesvorsitzende Petra Pau am Montag . 
sagen_s6388_f0	`` Die zunehmende Perspektivlosigkeit durch Wohnungs- oder Arbeitslosigkeit schafft ein Klima , wo Alkohol hilft , der Wirklichkeit zu entfliehen '' , 	sagte 	Geschäftsführer Rolf Hüllinghorst . 
sagen_s6397_f0	Das Mittel mit dem Namen Campral unterstütze die Therapie , indem es Entzugssymptome unterdrücke , 	sagte 	ein Firmensprecher am Montag . 
sagen_s6490_f0	Dieskeywordtag 	sagten 	Bundesfinanzminister Theo Waigel ( CSU ) und der saarländische Ministerpräsident Oskar Lafontaine ( SPD ) am Montag abend nach Wiederaufnahme der steuerpolitischen Gespräche in Bonn . 
sagen_s6497_f0	Dieskeywordtag 	sagte 	der serbische Unterhändler Milan Milanovic in Erdut in Kroatien . 
sagen_s6499_f0	Dieser Vorschlag habe die Unterhändler jedoch `` nicht zufriedengestellt '' , 	sagte 	Milanovickeywordtag . 
sagen_s6503_f0	Die Übergangsperiode zur kroatischen Kontrolle über Ostslawonien müsse mindestens drei Jahre betragen , und nicht ein Jahr , wie von Kroatien vorgeschlagen , 	sagte 	Milanovickeywordtag . 
sagen_s6522_f0	Sie habe die Tür schnell wieder zugeschlagen , 	sagte 	Chrétienkeywordtag . 
sagen_s6531_f0	Schewardnadses Stabschef , Petre Mamradse , 	sagte 	afpkeywordtag , Schewardnadses Koalition , die Union der Einwohner Georgiens , liege in allen Regionen in Führung und habe zweifellos die Fünf-Prozent-Marke überschritten , die für den Einzug ins Parlament notwendig ist . 
sagen_s6544_f0	Südkoreas Informationsminister 	sagte 	, Roh werde nicht unbehelligt bleiben . 
sagen_s6547_f0	Er werde vorgeladen , sobald er von einer Auslandsreise zurückgekehrt sei , 	sagte 	die Staatsanwaltschaft . 
sagen_s6560_f0	Rexrodtkeywordtag 	sagte 	am Montag in Bonn , am Sonntag sei bei Beratungen einer Arbeitsgruppe der Koalition weitgehende Einigung erzielt worden . 
sagen_s6572_f0	Blümkeywordtag 	sagte 	der Bild-Zeitung , er halte es weiterhin für notwendig , das Thema anzugehen , weil `` immer mehr reguläre Arbeitsplätze in 580-Mark-Jobs umgewandelt werden . 
sagen_s6575_f0	FDP-Generalsekretär Guido Westerwelle 	sagte 	in Bonn , bei dem Thema werde ein `` Popanz '' aufgebaut . 
sagen_s6577_f0	Die 580-Mark-Regelung komme sowohl den Wünschen der Arbeitgeber wie der Arbeitnehmer , insbesondere berufstätiger Frauen und Mütter , entgegen , 	sagte 	Westerwellekeywordtag . 
sagen_s6607_f0	Der serbische Unterhändler Milan Milanovic 	sagte 	, er gehe davon aus , daß die Gespräche damit beendet seien . 
sagen_s6609_f0	Milanovickeywordtag 	sagte 	, die serbische Seite habe einen eigenen Vorschlag unterbreitet . 
sagen_s6615_f0	Laut Nachrichtenagentur Oslobodenje 	sagte 	Ganickeywordtag , er rechne mit einer Aufteilung in Sektoren unter US-amerikanischer , britischer und französischer Armee-Verwaltung . 
sagen_s6685_f0	Wenn nicht bald Nahrung und Medikamente einträfen , werde es zu einer Katastrophe kommen , 	sagte 	ein Vertreter der Stadtverwaltung am Montag . 
sagen_s6754_f0	Er habe von den Wählern die Unterstützung für sein Programm zur Rettung der Nation erhalten , 	sagte 	der frühere sowjetische Außenminister vor seinem Abflug nach Jerusalem zur Beisetzung Yitzhak Rabins . 
sagen_s6763_f0	Händlerkeywordtag 	sagten 	, der Kurstrend habe sich während der mehr als zweistündigen Unterbrechung nicht nennenswert gedreht . 
sagen_s6765_f0	`` Wir haben durch die Unterbrechung nicht viel versäumt '' , 	sagte 	ein Händler . 
sagen_s6782_f0	Finanzminister Theo Waigel 	sagte 	nach dem Gespräch zwischen Koalition und Sozialdemokraten am Montag abend , eine Reform zum 1. Januar 1996 wäre `` konjunkturpolitisch ein positives Signal '' für die Wirtschaft gewesen . 
sagen_s6788_f0	Lafontainekeywordtag 	sagte 	, die SPD setze eine Senkung der Lohnnebenkosten gegen das Konzept der Koalition zum Abbau der Gewerbesteuer . 
sagen_s6791_f0	Einig sei man sich , daß eine Gemeindefinanzreform nicht zu einer Mehrbelastung der Kommunen führen dürfe , 	sagte 	Lafontainekeywordtag . 
sagen_s6821_f0	Die Verwendung der in der Verordnung genannten Tellereisen - Haltefallen , die das Tier an den Beinen packen - sei in den vergangenen Jahren immer weiter zurückgegangen , 	sagen 	die Kanadier . 
sagen_s6826_f0	Kohlkeywordtag , verlautete aus der Pelzbranche , habe Verständnis für die Sorgen der Betroffenen geäußert und 	gesagt 	, man könne `` als Stadtmensch nicht einfach Entscheidungen treffen , die anderen , die in und von der Natur leben , Schaden bringen würden '' . 
sagen_s6830_f0	Die Kanadier hätten seit vielen Jahren Zeit , sich umzustellen , es gebe kein Argument dafür , daß die Verordnung zu früh komme , 	sagt 	Naturschutzreferent Martin Riebe . 
sagen_s6853_f0	ihre Bedeutung liegt nicht in dem , was sie tun , sondern in dem , waskeywordtag siekeywordtag 	sagen 	. 
sagen_s6864_f0	Deshalbkeywordtag drehtkeywordtag sichkeywordtag , wiekeywordtag Zygmunt Bauman einmal 	gesagt 	hat , die politische Ökonomie der Postmoderne vor allem um die Produktion und Verteilung öffentlicher Aufmerksamkeit . 
sagen_s6959_f0	`` Die Kultur-Muschelbänke sind nichts anderes als Monokulturen '' , 	sagt 	Harald Asmus , Forscher an der biologischen Anstalt Helgoland . 
sagen_s6961_f0	Damit aber sei `` das Sahnehäubchen auf der Torte '' zum Industriegebiet degradiert worden , 	sagt 	Umweltschützer Koch . 
sagen_s6971_f0	`` Gegen die Fischerei von ein paar Küstendörfern ist nichts einzuwenden , aber hier werden die Muschelbänke regelrecht abgeräumt '' , 	sagt 	Asmuskeywordtag . 
sagen_s7041_f0	Dreist und gefühllos , verdientkeywordtag erkeywordtag , wiekeywordtag manchekeywordtag 	sagen 	mögen , die Gewalt , die über ihn hereinbricht , wenn auch nicht dieses endgültige Schicksal . 
sagen_s7214_f0	Aber ein einziger würde genügen , 	sagt 	Hojczykkeywordtag : 
sagen_s7235_f0	Alles Schokolade , 	sagen 	die Kenner und sehen es dem millionenfach in den Regalen liegenden Weihnachtsmann nach , daß er vor sieben Monaten ein paar lange Ohren hatte und von Kopf bis Fuß ein Hase war . 
sagen_s7236_f0	Alles Projektion , 	sagen 	die Künstler , die das Doppelwesen `` Féminin-Masculin '' beschwören . 
sagen_s7327_f0	Berlin ist Bonn , möchte mankeywordtag deshalb lapidar 	sagen 	, um sich in Inhalt und Form auf Betrachtungen festzulegen , die auf gar keinen Fall Zentralisierungstendenzen zu Lasten föderalistischer Bescheidenheit nach vorne schieben , also einen Zustand aufheben , mit dem dieses Land ganz gut gefahren ist . 
sagen_s7329_f0	Aberkeywordtag nurkeywordtag zum `` Zwecke der Beschreibung '' , wiekeywordtag erkeywordtag fast schon entschuldigend 	sagt 	. 
sagen_s7493_f0	Wenn es inzwischen fast zur Banalität wird zu sagen , es reiche nicht , die PDS nur als Nachfolgepartei der SED zu bezeichnen , so verdanken wir das sich mehrenden Stimmen in der CDU und bei den Grünen , aber leider kaum in der SPD . 
sagen_s7495_f0	Der Kanzler hat einmal 	gesagt 	, wenn er sich selbst frage , wie er sich verhalten hätte , wenn er in der DDR aufgewachsen wäre , empfinde er viel Verständnis für die Menschen , die ihr Leben dort leben mußten . 
sagen_s7508_f0	Erkeywordtag hat nicht 	gesagt 	, daß er dieser Stimme folgen oder zum Maßstab nehmen wird , wenn er sich um ehemalige SED-Mitglieder bemüht . 
sagen_s7629_f0	`` Ich handelte allein , aber vielleicht mit Gott '' , 	sagte 	der 27jährige Jurastudent . 
sagen_s7631_f0	`` Ich bin sicher , sie geben arabischen Gefangenen mehr '' , 	sagte 	erkeywordtag . 
sagen_s7642_f0	Amirkeywordtag 	sagte 	, er habe Rabin aus so kurzer Entfernung erschossen , weil er Umstehende nicht habe gefährden wollen . 
sagen_s7647_f0	Hätte man dort den rechtsextremen Tendenzen in letzter Zeit größere Bedeutung zugemessen , wäre diese Tat zu verhindern gewesen , 	sagte 	Lahatkeywordtag im Deutschlandradio . 
sagen_s7662_f0	Clintonkeywordtag 	sagte 	auf dem Flug von Washington nach Jerusalem , der Anschlag auf Rabin lehre , daß jede Demokratie nur dann funktioniere , wenn mit der Freiheit verantwortungsvoll umgegangen werde . 
sagen_s7823_f0	`` Ich bin überzeugt , daß wir mit Leuten wie Jacek Kuron , die aus der ehemaligen Opposition hervorgegangen sind , ebenfalls ein gemeinsames Polen schaffen können '' , 	sagte 	Kwasniewskikeywordtag . 
sagen_s7830_f0	Kuron , der während des Wahlkampfes erklärt hatte , er würde auf keinen Fall Walesa wählen , 	sagte 	, er werde sich dem Beschluß seiner Partei fügen . 
sagen_s7967_f0	Dieskeywordtag 	sagte 	der Sprecher der Arbeitgeber in der BA-Selbstverwaltung , Josef Siegers , im Gespräch mit der FR . 
sagen_s8103_f0	Deleuze selbst gab seinerzeit in einem langen Interview für die französische Tageszeitung Libération zur Antwort , wahrscheinlich habe Foucaultkeywordtag nichts anderes 	sagen 	wollen , als daß er der naivste der Philosophen seiner Generation sei : 
sagen_s8109_f0	Vielleicht wollte Foucaultkeywordtag nur das 	sagen 	: daß ich nicht der Beste , sondern der Naivste bin , , art brut ' , wenn man so will . 
sagen_s8118_f0	Wenn sich 70 Prozent um eine Idee scharen , bin ich glücklich '' , 	sagte 	der 68jährige in einer Fernsehansprache . 
sagen_s8185_f0	Vor dem dritten außerordentlichen Gewerkschaftstag seiner Organisation 	sagte 	der scheidende IG-Bau-Vorsitzende Bruno Köbele am Montag in Dortmund , vor diesem Hintergrund sei der Kampf um die Entsenderichtlinie eine neue gewerkschaftliche Aufgabe . 
sagen_s8186_f0	`` Bisher wurden nur Rinderhälften und Butterpakete trickreich verschoben '' , 	sagte 	Köbelekeywordtag , `` jetzt sollen die Arbeitnehmer an der Reihe sein . '' 
sagen_s8194_f0	Gnadenlos schröpfe der Staat die Arbeitnehmer durch Steuern und Sozialabgaben , 	sagte 	erkeywordtag . 
sagen_s8209_f0	Dafürkeywordtag hatkeywordtag Hausherr Lafontaine `` drei Körbe '' vorbereitetkeywordtag , wiekeywordtag erkeywordtag 	sagt 	, undkeywordtag eifrig Unterlagen gesammelt . 
sagen_s8240_f0	`` Europa braucht den Protestantismus mit seinen enormen föderalen Erfahrungen '' , 	sagte 	der Präses in einer Podiumsdiskussion zum zentralen Tagungsthema der Synode : 
sagen_s8305_f0	Diese Gruppen müßten mit allen verfügbaren Mitteln niedergeschlagen werden , 	sagte 	Barakkeywordtag am Montag im israelischen Fernsehen . 
sagen_s8317_f0	Hagaj Amir 	sagte 	der israelischen Polizei zufolge , er habe an den Vorbereitungen des Anschlags `` unwissentlich '' mitgearbeitet . 
sagen_s8330_f0	Die Bundesrepublik werde sich auf der brasilianischen Technologieausstellung Febral vom 27. November bis 3. Dezember in São Paulo dem `` gemeinsamen Markt des Südens '' präsentieren , 	sagte 	Wirtschaftsminister Günter Rexrodt . 
sagen_s8356_f0	`` Heute organisiert die Armee die Sicherheit '' , 	sagte 	Assaf Hefetz , Generalinspekteur der Polizei . 
sagen_s8380_f0	Der Schock des Mordes werde nur kurzfristig die politische Gewalt eindämmen , 	sagte 	erkeywordtag : 
sagen_s8408_f0	Verheugen zufolge hatte Naumannkeywordtag in Berlin 	gesagt 	, der deutsche Soldat müsse `` auch fern der Heimat '' versuchen , `` Krisen von seinem Land fernzuhalten '' und als Beispiele für solche Situationen vor 1945 die Vorgänge in China und Deutsch-Südwestafrika genannt . 
sagen_s8416_f0	Die Migration nach Deutschland solle human gestaltet werden , 	sagte 	der einwanderungspolitische Sprecher der Bündnisgrünen , Cem Özdemir . 
sagen_s8467_f0	Der koalitionsgebundene Ringstorff ist noch am vorsichtigsten , wenn erkeywordtag zur Möglichkeit eines frühzeitigen Seitenwechsels 	sagt 	: `` Über diese Dinge wird in der SPD nicht nachgedacht , zumindest nicht mehrheitlich . '' 
sagen_s8479_f0	Aberkeywordtag , 	sagt 	einerkeywordtag : `` Die PDS wird jeden Monat sozialdemokratischer . '' 
sagen_s8507_f0	Husseinkeywordtag 	sagte 	weiter : `` Ich glaube , daß für uns alle die Zeit gekommen ist , offen miteinander zu sprechen . 
sagen_s8516_f0	Rabins Name werde mit dem Erreichen eines beispiellosen Ziels , einer neuen Beziehung zwischen Israel und den Palästinensern , verknüpft sein , 	sagte 	der russische Ministerpräsident Wiktor Tschernomyrdin . 
sagen_s8552_f0	Gonzalezkeywordtag 	sagte 	, die drei Verurteilten `` sollten eigentlich noch im Gefängnis sitzen und eine lebenslange Strafe verbüßen '' . 
sagen_s8555_f0	Die anderen seien nie gefaßt worden , 	sagte 	erkeywordtag . 
sagen_s8568_f0	Die Presse habe doch breit berichtet , 	sagte 	Jürgen Neumann , Sprecher der Bundesvereinigung der Arbeitgeberverbände in Köln . 
sagen_s8573_f0	Das ist in den Köpfen drin '' , 	sagte 	Sprecherin Dagmar Opuczinski . 
sagen_s8588_f0	`` Wer in Arbeitsgruppen arbeitet , kann das auch noch zwei Tage vorher mit seinen Kollegen abmachen '' , 	sagte 	Personalchef Bernd Richter dazu . 
sagen_s8629_f0	Dort sei die Entführung von Zivilisten - Männern , Frauen und Kindern gleich welcher Religion - ein Mittel der Kriegsführung geworden , 	sagte 	Birokeywordtag . 
sagen_s8696_f0	Wenn der Haufen entzündet wird , können sie nicht mehr rechtzeitig flüchten '' , 	sagte 	der Präsident des Tierschutzbundes , Wolfgang Apel . 
sagen_s8792_f0	Ihm sei der Frieden wichtiger als der nächste Wahlsieg , 	sagte 	Pereskeywordtag nach einem Gipfeltreffen mit US-Präsident Bill Clinton , dem ägyptischen Staatschef Hosni Mubarak und Jordaniens König Hussein . 
sagen_s8798_f0	Im Armee-Rundfunk 	sagte 	Awischai Rawiw von der Ejal-Organisation : `` Wir bewundern diesen Jungen für seine Aufrichtigkeit , dafür , daß er zu seinen Worten stand . '' 
sagen_s8832_f0		Sagte 	ichkeywordtag : Mordkeywordtag ? 
sagen_s8855_f0	`` Wir könnten mit dem Geld auskommen , wenn wir keinen Ton spielen würden '' , 	sagte 	Vorstandsvorsitzende Zsolt Istvanffy . 
sagen_s8874_f0	Wie im Artikelgesetz vom April 1994 vorgesehen , werde man über eine grundlegende Rückführung sprechen müssen , 	sagte 	Bohlkeywordtag auf dem Steinkohlentag . 
sagen_s8879_f0	`` Wer anderes will , wird mit der Kooperation des Bergbaus nicht rechnen können '' , 	sagte 	Spieskeywordtag und warnte vor der Hoffnung , mit rascher Stillegung `` schnell öffentliches Geld '' zusätzlich zu sparen . 
